tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,bbox_left_n,bbox_right_n,bbox_top_n,bbox_bottom_n,bbox_mds_1,bbox_mds_2,bbox_center_x_n,bbox_center_y_n,bbox_width_n,bbox_height_n,bbox_fill_area
svg/g_2/path_11,0.75,0.7071067811865476,0.038299131430802935,0.3080825490934995,0.9905660377358493,0.5843137254901961,0.3,0.15,0.0,1.0,0.3,0.0,0.13361462728551346,0.0,0.05909090909090898,0.1137029336197524,1.0,0.06680731364275673,0.029545454545454486,0.13361462728551346,0.05909090909090898,0.0
svg/g_2/path_10,0.75,0.7071067811865476,0.038299131430802935,0.3080825490934995,0.9905660377358493,0.5843137254901961,0.3,0.15,0.0,1.0,0.3,0.0,0.15471167369901556,0.26818181818181813,0.3272727272727272,0.0868284373427966,0.7167814726645857,0.07735583684950778,0.2977272727272727,0.15471167369901556,0.059090909090909124,0.0
svg/g_2/path_9,0.75,0.7071067811865476,0.038299131430802935,0.3080825490934995,0.9905660377358493,0.5843137254901961,0.3,0.15,0.0,1.0,0.3,0.0,0.6821378340365684,0.5318181818181816,0.5909090909090909,0.6468951319976145,0.4021692855891254,0.3410689170182841,0.5613636363636363,0.6821378340365684,0.059090909090909284,0.0
svg/g_2/path_8,0.75,0.7071067811865476,0.038299131430802935,0.3080825490934995,0.9905660377358493,0.5843137254901961,0.3,0.15,0.0,1.0,0.3,0.0,0.1533052039381153,0.7999999999999999,0.8590909090909091,0.0,0.15460953087883894,0.07665260196905765,0.8295454545454546,0.1533052039381153,0.05909090909090907,0.0
svg/g_1/path_7,0.75,0.7071067811865476,0.2694537492753373,0.05632396247171412,0.5042735042735044,0.5411764705882354,0.3,0.15,0.0,1.0,0.3,0.0,0.17299578059071727,0.07272727272727268,0.13181818181818178,0.16319046272552595,0.922452606409253,0.08649789029535863,0.10227272727272722,0.17299578059071727,0.05909090909090909,0.0
svg/g_1/path_6,0.75,0.7071067811865476,0.2694537492753373,0.05632396247171412,0.5042735042735044,0.5411764705882354,0.3,0.15,0.0,1.0,0.3,0.0,0.17862165963431795,0.33636363636363625,0.39545454545454545,0.09141091378092137,0.6422579191414245,0.08931082981715897,0.36590909090909085,0.17862165963431795,0.059090909090909124,0.0
svg/g_1/path_5,0.75,0.7071067811865476,0.2694537492753373,0.05632396247171412,0.5042735042735044,0.5411764705882354,0.3,0.15,0.0,1.0,0.3,0.0,0.7918424753867791,0.6045454545454542,0.6636363636363636,0.7527300843131578,0.30925318904490673,0.39592123769338955,0.6340909090909089,0.7918424753867791,0.059090909090909395,0.0
svg/g_1/path_4,0.75,0.7071067811865476,0.2694537492753373,0.05632396247171412,0.5042735042735044,0.5411764705882354,0.3,0.15,0.0,1.0,0.3,0.0,0.15471167369901556,0.8727272727272728,0.9318181818181818,0.006711101356401896,0.07526143054998151,0.07735583684950778,0.9022727272727272,0.15471167369901556,0.05909090909090919,0.0
svg/g/path_3,0.75,0.7071067811865476,0.06583354635423755,0.7479909081572589,1.0,0.44313725490196076,0.3,0.15,0.0,1.0,0.3,0.0,0.2967651195499297,0.14090909090909085,0.19999999999999998,0.27560178520708134,0.8376875256594679,0.14838255977496484,0.17045454545454541,0.2967651195499297,0.05909090909090915,0.0
svg/g/path_2,0.75,0.7071067811865476,0.06583354635423755,0.7479909081572589,1.0,0.44313725490196076,0.3,0.15,0.0,1.0,0.3,0.0,0.21940928270042204,0.409090909090909,0.4681818181818182,0.11921351873180157,0.5618334529335082,0.10970464135021102,0.4386363636363636,0.21940928270042204,0.05909090909090922,0.0
svg/g/path_1,0.75,0.7071067811865476,0.06583354635423755,0.7479909081572589,1.0,0.44313725490196076,0.3,0.15,0.0,1.0,0.3,0.0,1.0,0.677272727272727,0.7363636363636363,1.0,0.23711087559019234,0.5,0.7068181818181817,1.0,0.059090909090909284,0.0
svg/g/path,0.75,0.7071067811865476,0.06583354635423755,0.7479909081572589,1.0,0.44313725490196076,0.3,0.15,0.0,1.0,0.3,0.0,0.15752461322081585,0.9409090909090908,1.0,0.02201725780899692,0.0,0.07876230661040792,0.9704545454545455,0.15752461322081585,0.05909090909090919,0.0
