tag_name,tag,opacity,fill_h_normalized,fill_s_normalized,fill_l_normalized,fill_color_salience,stroke_h_normalized,stroke_s_normalized,stroke_l_normalized,stroke_color_salience,stroke_width,layer_salience,bbox_min_left_norm,bbox_max_right_norm,bbox_min_top_norm,bbox_max_bottom_norm,bbox_center_x_norm,bbox_center_y_norm,bbox_width_norm,bbox_height_norm,bbox_fill_area,bbox_stroke_area
svg/g_30/line_39,0.650039,0.8944271909999159,0.0,0.0,0.0,0.4,0.0,0.0,0.9019607843137255,0.45882352941176474,1.0,0.75,-0.8759057971014492,-0.8728864734299516,-1.0,0.8976777939042084,-0.8743961352657004,-0.05116110304789578,0.0015096618357487923,0.9488388969521042,0.0,0.13784187552028765
svg/g_30/line_38,0.650038,0.8944271909999159,0.0,0.0,0.0,0.4,0.0,0.0,0.9019607843137255,0.45882352941176474,1.0,0.7465753424657534,-0.7451690821256037,-0.7421497584541061,-1.0,0.8976777939042084,-0.743659420289855,-0.05116110304789578,0.0015096618357487923,0.9488388969521042,0.0,0.13784187552028765
svg/g_30/line_37,0.650037,0.8944271909999159,0.0,0.0,0.0,0.4,0.0,0.0,0.9019607843137255,0.45882352941176474,1.0,0.7431506849315068,-0.6144323671497584,-0.6114130434782608,-1.0,0.8976777939042084,-0.6129227053140096,-0.05116110304789578,0.0015096618357487923,0.9488388969521042,0.0,0.13784187552028765
svg/g_30/line_36,0.6500360000000001,0.8944271909999159,0.0,0.0,0.0,0.4,0.0,0.0,0.9019607843137255,0.45882352941176474,1.0,0.7397260273972603,-0.4833937198067632,-0.4803743961352656,-1.0,0.8976777939042084,-0.4818840579710144,-0.05116110304789578,0.0015096618357487923,0.9488388969521042,0.0,0.13784187552028765
svg/g_30/line_35,0.650035,0.8944271909999159,0.0,0.0,0.0,0.4,0.0,0.0,0.9019607843137255,0.45882352941176474,1.0,0.7363013698630136,-0.3526570048309178,-0.3496376811594202,-1.0,0.8976777939042084,-0.351147342995169,-0.05116110304789578,0.0015096618357487923,0.9488388969521042,0.0,0.13784187552028765
svg/g_30/line_34,0.650034,0.8944271909999159,0.0,0.0,0.0,0.4,0.0,0.0,0.9019607843137255,0.45882352941176474,1.0,0.7328767123287672,-0.2219202898550723,-0.2189009661835747,-1.0,0.8976777939042084,-0.2204106280193235,-0.05116110304789578,0.0015096618357487923,0.9488388969521042,0.0,0.13784187552028765
svg/g_30/line_33,0.650033,0.8944271909999159,0.0,0.0,0.0,0.4,0.0,0.0,0.9019607843137255,0.45882352941176474,1.0,0.7294520547945206,-0.09118357487922703,-0.08816425120772944,-1.0,0.8976777939042084,-0.08967391304347823,-0.05116110304789578,0.0015096618357487923,0.9488388969521042,0.0,0.13784187552028765
svg/g_30/line_32,0.650032,0.8944271909999159,0.0,0.0,0.0,0.4,0.0,0.0,0.9019607843137255,0.45882352941176474,1.0,0.726027397260274,0.1524758454106282,0.15549516908212577,-1.0,0.8976777939042084,0.153985507246377,-0.05116110304789578,0.0015096618357487923,0.9488388969521042,0.0,0.13784187552028765
svg/g_30/line_31,0.650031,0.8944271909999159,0.0,0.0,0.0,0.4,0.0,0.0,0.9019607843137255,0.45882352941176474,1.0,0.7226027397260274,0.2427536231884059,0.2457729468599035,-1.0,0.8976777939042084,0.2442632850241547,-0.05116110304789578,0.0015096618357487923,0.9488388969521042,0.0,0.13784187552028765
svg/g_30/line_30,0.65003,0.8944271909999159,0.0,0.0,0.0,0.4,0.0,0.0,0.9019607843137255,0.45882352941176474,1.0,0.7191780821917808,0.3321256038647345,0.33514492753623204,-1.0,0.8976777939042084,0.3336352657004833,-0.05116110304789578,0.0015096618357487923,0.9488388969521042,0.0,0.13784187552028765
svg/g_30/line_29,0.650029,0.8944271909999159,0.0,0.0,0.0,0.4,0.0,0.0,0.9019607843137255,0.45882352941176474,1.0,0.7157534246575342,0.4217995169082127,0.4248188405797103,-1.0,0.8976777939042084,0.4233091787439615,-0.05116110304789578,0.0015096618357487923,0.9488388969521042,0.0,0.13784187552028765
svg/g_30/line_28,0.6500279999999999,0.8944271909999159,0.0,0.0,0.0,0.4,0.0,0.0,0.9019607843137255,0.45882352941176474,1.0,0.7123287671232876,0.511473429951691,0.5144927536231886,-1.0,0.8976777939042084,0.5129830917874397,-0.05116110304789578,0.0015096618357487923,0.9488388969521042,0.0,0.13784187552028765
svg/g_30/line_27,0.650027,0.8944271909999159,0.0,0.0,0.0,0.4,0.0,0.0,0.9019607843137255,0.45882352941176474,1.0,0.7089041095890412,0.6011473429951694,0.604166666666667,-1.0,0.8976777939042084,0.6026570048309181,-0.05116110304789578,0.0015096618357487923,0.9488388969521042,0.0,0.13784187552028765
svg/g_30/line_26,0.650026,0.8944271909999159,0.0,0.0,0.0,0.4,0.0,0.0,0.9019607843137255,0.45882352941176474,1.0,0.7054794520547945,0.6908212560386474,0.693840579710145,-1.0,0.8976777939042084,0.6923309178743962,-0.05116110304789578,0.0015096618357487923,0.9488388969521042,0.0,0.13784187552028765
svg/g_30/line_25,0.650025,0.8944271909999159,0.0,0.0,0.0,0.4,0.0,0.0,0.9019607843137255,0.45882352941176474,1.0,0.702054794520548,0.780193236714976,0.7832125603864736,-1.0,0.8976777939042084,0.7817028985507247,-0.05116110304789578,0.0015096618357487923,0.9488388969521042,0.0,0.13784187552028765
svg/g_30/line_24,0.6500239999999999,0.8944271909999159,0.0,0.0,0.0,0.4,0.0,0.0,0.9019607843137255,0.45882352941176474,1.0,0.6986301369863014,0.8701690821256038,0.8731884057971014,-1.0,0.8976777939042084,0.8716787439613527,-0.05116110304789578,0.0015096618357487923,0.9488388969521042,0.0,0.13784187552028765
svg/g_30/line_23,0.650023,0.8944271909999159,0.0,0.0,0.0,0.4,0.0,0.0,0.9019607843137255,0.45882352941176474,1.0,0.6952054794520548,0.9595410628019324,0.96256038647343,-1.0,0.8976777939042084,0.9610507246376813,-0.05116110304789578,0.0015096618357487923,0.9488388969521042,0.0,0.13784187552028765
svg/g/g_29/path_56,0.900056,1.0,0.0,0.0,0.51,0.694,0.0,0.0,0.0,0.4,1.0,0.375,-1.0,-0.9852053140096617,0.9448476052249631,0.9985486211901303,-0.9926026570048307,0.971698113207547,0.00739734299516908,0.02685050798258357,0.0,0.09079037939087813
svg/g/g_28/path_55,0.9000549999999999,1.0,0.0,0.0,0.51,0.694,0.0,0.0,0.0,0.4,1.0,0.3715753424657534,-0.8777173913043477,-0.8704710144927535,0.9462989840348325,0.9985486211901299,-0.8740942028985508,0.972423802612481,0.003623188405797089,0.026124818577648718,0.0,0.07454403124256488
svg/g/g_27/path_54,0.9000539999999999,1.0,0.0,0.0,0.51,0.694,0.0,0.0,0.0,0.4,1.0,0.3681506849315068,-0.7503019323671497,-0.7364130434782609,0.9448476052249636,0.9970972423802614,-0.7433574879227052,0.9709724238026125,0.006944444444444458,0.026124818577648923,0.0,0.08633707785989646
svg/g/g_26/path_53,0.9000530000000001,1.0,0.0,0.0,0.51,0.694,0.0,0.0,0.0,0.4,1.0,0.3647260273972603,-0.6183574879227055,-0.6047705314009664,0.9441219158200282,0.9970972423802605,-0.6115640096618359,0.9706095791001442,0.006793478260869565,0.026487663280116144,0.0,0.08770394488444244
svg/g/g_25/path_52,0.9000520000000001,1.0,0.0,0.0,0.51,0.694,0.0,0.0,0.0,0.4,1.0,0.3613013698630137,-0.49003623188405787,-0.4743357487922704,0.945573294629898,0.9970972423802605,-0.48218599033816417,0.9713352685050791,0.007850241545893703,0.025761973875181497,0.0,0.08688226946371082
