tag_name,tag,opacity,fill_h_normalized,fill_s_normalized,fill_l_normalized,fill_color_salience,stroke_h_normalized,stroke_s_normalized,stroke_l_normalized,stroke_color_salience,stroke_width,layer_salience,bbox_min_left_norm,bbox_max_right_norm,bbox_min_top_norm,bbox_max_bottom_norm,bbox_center_x_norm,bbox_center_y_norm,bbox_width_norm,bbox_height_norm,bbox_fill_area,bbox_stroke_area
svg/g_29/g_30/g_38/path_114,0.900114,1.0,0.5694444444444445,0.9999999999999996,0.63,0.5426025563836915,0.0,0.0,1.0,0.4,1.0,0.9375,0.38053097345132697,0.8240815231965677,0.42033678756476467,0.7279792746113962,0.6023062483239471,0.5741580310880805,0.22177527487262053,0.1538212435233158,0.0,0.14473585853762563
svg/g_29/g_30/g_38/path_113,0.900113,1.0,0.5694444444444445,0.9999999999999996,0.63,0.5426025563836915,0.0,0.0,1.0,0.4,1.0,0.9352678571428571,0.593456690801823,0.6047197640117993,0.6774611398963692,0.6852331606217582,0.599088227406811,0.6813471502590638,0.005631536604988146,0.0038860103626944397,0.0,0.04803217261579986
svg/g_29/g_30/g_38/path_112,0.900112,1.0,0.5694444444444445,0.9999999999999996,0.63,0.5426025563836915,0.0,0.0,1.0,0.4,1.0,0.9330357142857143,0.5859479753285053,0.5988200589970502,0.6871761658031043,0.6936528497409281,0.5923840171627777,0.6904145077720162,0.006436041834272318,0.00323834196891191,0.0,0.04879688501643941
svg/g_29/g_30/g_38/path_111,0.900111,1.0,0.5694444444444445,0.9999999999999996,0.63,0.5426025563836915,0.0,0.0,1.0,0.4,1.0,0.9308035714285714,0.6513810673102703,0.6610351300616786,0.7046632124352297,0.7079015544041415,0.6562080986859742,0.7062823834196856,0.004827031375704277,0.001619170984456139,0.0,0.04135935354682677
svg/g_29/g_30/g_37/path_110,0.90011,1.0,0.5694444444444445,0.9999999999999996,0.63,0.5426025563836915,0.0,0.0,1.0,0.4,1.0,0.9196428571428572,-0.2078305175650314,0.3832126575489403,-0.05440414507772233,0.6651554404145041,0.08769106999195443,0.3053756476683909,0.2955215875569857,0.35977979274611327,0.0,0.16290850403751297
svg/g_29/g_30/g_37/path_109,0.900109,1.0,0.5694444444444445,0.9999999999999996,0.63,0.5426025563836915,0.0,0.0,1.0,0.4,1.0,0.9174107142857143,0.015821936175918108,0.02225797801019058,0.31800518134714767,0.3225388601036241,0.01903995709305419,0.3202720207253858,0.003218020917136083,0.002266839378238208,0.0,0.03517158569319991
svg/g_29/g_30/g_37/path_108,0.900108,1.0,0.5694444444444445,0.9999999999999996,0.63,0.5426025563836915,0.0,0.0,1.0,0.4,1.0,0.9151785714285715,0.06141056583534422,0.06570126039152586,0.4047927461139867,0.4093264248704633,0.06355591311343474,0.407059585492225,0.0021453472780908235,0.0022668393782383,0.0,0.03234142769636036
svg/g_29/g_30/g_37/path_107,0.900107,1.0,0.5694444444444445,0.9999999999999996,0.63,0.5426025563836915,0.0,0.0,1.0,0.4,1.0,0.9129464285714286,0.2019308125502808,0.20300348618932637,0.45077720207253597,0.45401554404144767,0.2024671493698039,0.45239637305699193,0.0005363368195227818,0.0016191709844558628,0.0,0.021971202158984477
svg/g_29/g_30/g_37/path_106,0.900106,1.0,0.5694444444444445,0.9999999999999996,0.63,0.5426025563836915,0.0,0.0,1.0,0.4,1.0,0.9107142857142858,0.14078841512469797,0.14615178331992518,0.4779792746113958,0.4863989637305668,0.14347009922231158,0.4821891191709813,0.0026816840976136053,0.004209844559585427,0.0,0.03858882328147003
svg/g_29/g_30/g_37/path_105,0.9001049999999999,1.0,0.5694444444444445,0.9999999999999996,0.63,0.5426025563836915,0.0,0.0,1.0,0.4,1.0,0.9084821428571429,0.15848753016894582,0.1611692142665591,0.4896373056994787,0.49222797927460826,0.15982837221775248,0.4909326424870434,0.0013408420488068026,0.0012953367875646901,0.0,0.02317403752133092
