tag_name,tag,opacity,fill_h,fill_s,fill_l,stroke_h,stroke_s,stroke_l,stroke_width,layer,bbox_min_top,bbox_max_bottom,bbox_min_left,bbox_max_right,bbox_center_x,bbox_center_y,bbox_width,bbox_height,bbox_fill_area,bbox_stroke_area
svg/g_1/line_22,3,1.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,"[0, 0, 0]",28.5,285.5,42.7,43.7,43.2,157.0,1.0,257.0,0.0,256.0
svg/g_1/g_3/g_4/line_21,3,1.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,"[0, 0, 1, 0, 0]",220.5,221.5,36.0,43.4,39.7,221.0,7.399999999999999,1.0,0.0,6.399999999999999
svg/g_1/g_3/g_4/line_20,3,1.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,"[0, 0, 1, 0, 1]",156.5,157.5,36.0,43.4,39.7,157.0,7.399999999999999,1.0,0.0,6.399999999999999
svg/g_1/g_3/g_4/line_19,3,1.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,"[0, 0, 1, 0, 2]",92.5,93.5,36.0,43.4,39.7,93.0,7.399999999999999,1.0,0.0,6.399999999999999
svg/g_1/g_3/g_4/line_18,3,1.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,"[0, 0, 1, 0, 3]",28.5,29.5,36.0,43.4,39.7,29.0,7.399999999999999,1.0,0.0,6.399999999999999
svg/g_1/g_2/line_17,3,1.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,"[0, 0, 2, 0]",284.5,285.5,42.2,702.0,372.1,285.0,659.8,1.0,0.0,658.8
svg/g_1/line_16,3,1.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,"[0, 0, 3]",284.5,293.0,79.5,80.5,80.0,288.75,1.0,8.5,0.0,7.5
svg/g_1/line_15,3,1.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,"[0, 0, 4]",284.5,293.0,116.3,117.3,116.8,288.75,1.0,8.5,0.0,7.5
svg/g_1/line_14,3,1.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,"[0, 0, 5]",284.5,293.0,153.1,154.1,153.6,288.75,1.0,8.5,0.0,7.5
svg/g_1/line_13,3,1.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,"[0, 0, 6]",284.5,293.0,189.9,190.9,190.4,288.75,1.0,8.5,0.0,7.5
svg/g_1/line_12,3,1.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,"[0, 0, 7]",284.5,293.0,226.7,227.7,227.2,288.75,1.0,8.5,0.0,7.5
svg/g_1/line_11,3,1.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,"[0, 0, 8]",284.5,293.0,263.5,264.5,264.0,288.75,1.0,8.5,0.0,7.5
