tag_name,tag,opacity,fill_l,fill_a,fill_b,stroke_l,stroke_a,stroke_b,stroke_width,layer,bbox_min_top,bbox_max_bottom,bbox_min_left,bbox_max_right,bbox_center_x,bbox_center_y,bbox_width,bbox_height,bbox_fill_area,bbox_stroke_area
svg/g_11/rect_4,2.0004,1.0,62.78340555163312,17.478785259082418,66.16040273986468,-1.0,-1.0,-1.0,1.0,"[0, 0, 0]",220.5,231.5,648.2,659.2,653.7,226.0,11.0,11.0,121.0,44.0
svg/g_11/rect_3,2.0003,1.0,35.889100421011875,53.41450941229961,46.927798849591646,-1.0,-1.0,-1.0,1.0,"[0, 0, 1]",237.0,248.0,648.2,659.2,653.7,242.5,11.0,11.0,121.0,44.0
svg/g_11/rect_2,2.0002,1.0,69.13120277146832,38.636385379880736,16.974378007958446,-1.0,-1.0,-1.0,1.0,"[0, 0, 2]",253.5,264.5,648.2,659.2,653.7,259.0,11.0,11.0,121.0,44.0
svg/g_11/rect_1,2.0001,1.0,64.46590554162151,33.711673191348325,56.37936477487201,-1.0,-1.0,-1.0,1.0,"[0, 0, 3]",270.0,281.0,648.2,659.2,653.7,275.5,11.0,11.0,121.0,44.0
svg/g_11/rect,2.0,1.0,94.47184365332909,-8.358418647016585,33.01741755061052,75.25697800986038,12.93407136881558,67.58175952529275,0.25,"[0, 0, 4]",286.5,297.5,648.2,659.2,653.7,292.0,11.0,11.0,121.0,11.0
svg/g_11/g_17/path_61,6.0061,1.0,14.361819912250738,3.042422294738223,-1.1471414413655068,-1.0,-1.0,-1.0,1.0,"[0, 0, 5, 0]",223.2,229.7,666.3,671.0999999999999,668.6999999999999,226.45,4.7999999999999545,6.5,0.0,29.7662424026061
svg/g_11/g_17/path_60,6.006,1.0,14.361819912250738,3.042422294738223,-1.1471414413655068,-1.0,-1.0,-1.0,1.0,"[0, 0, 5, 1]",223.0,229.70000000000002,671.9,676.3,674.0999999999999,226.35000000000002,4.399999999999977,6.700000000000017,0.0,34.23216493729956
svg/g_11/g_17/path_59,6.0059,1.0,14.361819912250738,3.042422294738223,-1.1471414413655068,-1.0,-1.0,-1.0,1.0,"[0, 0, 5, 2]",226.6,227.2,679.6,682.1,680.85,226.89999999999998,2.5,0.5999999999999943,0.0,6.199999999999989
svg/g_11/g_17/path_58,6.0058,1.0,14.361819912250738,3.042422294738223,-1.1471414413655068,-1.0,-1.0,-1.0,1.0,"[0, 0, 5, 3]",223.29999999999998,229.79999999999998,685.3999999999999,689.3999999999999,687.3999999999999,226.54999999999998,4.0,6.5,0.0,29.61577048192037
svg/g_11/g_17/path_57,6.0057,1.0,14.361819912250738,3.042422294738223,-1.1471414413655068,-1.0,-1.0,-1.0,1.0,"[0, 0, 5, 4]",223.0,229.70000000000002,690.7,695.1,692.9000000000001,226.35000000000002,4.399999999999977,6.700000000000017,0.0,34.22707161999934
