tag_name,tag,opacity,fill_l,fill_a,fill_b,stroke_l,stroke_a,stroke_b,stroke_width,layer,bbox_min_top,bbox_max_bottom,bbox_min_left,bbox_max_right,bbox_center_x,bbox_center_y,bbox_width,bbox_height,bbox_fill_area,bbox_stroke_area
svg/g/line_13,3.0013,1.0,-1.0,-1.0,-1.0,9.263234285789427,0.0011456658871311642,-0.002266762104763398,1.0,"[0, 1, 0]",21.0,276.0,87.0,88.0,87.5,148.5,1.0,255.0,0.0,254.0
svg/g/line_12,3.0012,1.0,-1.0,-1.0,-1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,0.5,"[0, 1, 1]",21.25,275.75,180.15,180.65,180.4,148.5,0.5,254.5,0.0,127.0
svg/g/line_11,3.0011,1.0,-1.0,-1.0,-1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,0.5,"[0, 1, 2]",21.25,275.75,133.75,134.25,134.0,148.5,0.5,254.5,0.0,127.0
svg/g/line_10,3.001,1.0,-1.0,-1.0,-1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,0.5,"[0, 1, 3]",21.25,275.75,226.65,227.15,226.9,148.5,0.5,254.5,0.0,127.0
svg/g/line_9,3.0009,1.0,-1.0,-1.0,-1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,0.5,"[0, 1, 4]",21.25,275.75,273.05,273.55,273.3,148.5,0.5,254.5,0.0,127.0
svg/g/line_8,3.0008,1.0,-1.0,-1.0,-1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,0.5,"[0, 1, 5]",21.25,275.75,319.55,320.05,319.8,148.5,0.5,254.5,0.0,127.0
svg/g/line_7,3.0007,1.0,-1.0,-1.0,-1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,0.5,"[0, 1, 6]",21.25,275.75,366.05,366.55,366.3,148.5,0.5,254.5,0.0,127.0
svg/g/line_6,3.0006,1.0,-1.0,-1.0,-1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,0.5,"[0, 1, 7]",21.25,275.75,412.45,412.95,412.7,148.5,0.5,254.5,0.0,127.0
svg/g/line_5,3.0005,1.0,-1.0,-1.0,-1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,0.5,"[0, 1, 8]",21.25,275.75,458.95,459.45,459.2,148.5,0.5,254.5,0.0,127.0
svg/g/line_4,3.0004,1.0,-1.0,-1.0,-1.0,53.585013452169036,0.003155620347972121,-0.006243566036245873,0.5,"[0, 1, 9]",21.25,275.75,505.45,505.95,505.7,148.5,0.5,254.5,0.0,127.0
