tag_name,tag,opacity,fill_l,fill_a,fill_b,stroke_l,stroke_a,stroke_b,stroke_width,layer,bbox_min_top,bbox_max_bottom,bbox_min_left,bbox_max_right,bbox_center_x,bbox_center_y,bbox_width,bbox_height,bbox_fill_area,bbox_stroke_area
svg/rect_9,2.0009,1.0,64.18223503481998,41.54082380427365,18.93087651231089,0.0,0.0,0.0,1.0,"[0, 0]",-160.0,-80.0,-400.0,-320.0,-360.0,-120.0,80.0,80.0,6400.0,320.0
svg/rect_8,2.0008,1.0,64.18223503481998,41.54082380427365,18.93087651231089,0.0,0.0,0.0,1.0,"[0, 1]",-160.0,-80.0,-400.0,-320.0,-360.0,-120.0,80.0,80.0,6400.0,320.0
svg/rect_7,2.0007,1.0,64.18223503481998,41.54082380427365,18.93087651231089,0.0,0.0,0.0,1.0,"[0, 2]",-160.0,-80.0,-320.0,-240.0,-280.0,-120.0,80.0,80.0,6400.0,320.0
svg/rect_6,2.0006,1.0,64.18223503481998,41.54082380427365,18.93087651231089,0.0,0.0,0.0,1.0,"[0, 3]",-160.0,-80.0,-240.0,-160.0,-200.0,-120.0,80.0,80.0,6400.0,320.0
svg/rect_5,2.0005,1.0,64.18223503481998,41.54082380427365,18.93087651231089,0.0,0.0,0.0,1.0,"[0, 4]",-160.0,-80.0,-160.0,-80.0,-120.0,-120.0,80.0,80.0,6400.0,320.0
svg/rect_4,2.0004,1.0,84.37454479910102,-45.43828995907678,22.190568688631384,0.0,0.0,0.0,1.0,"[0, 5]",-160.0,-80.0,-80.0,0.0,-40.0,-120.0,80.0,80.0,6400.0,320.0
svg/rect_3,2.0003,1.0,85.91862061082226,-31.063349459822255,-9.658792820285743,0.0,0.0,0.0,1.0,"[0, 6]",-160.0,-80.0,0.0,80.0,40.0,-120.0,80.0,80.0,6400.0,320.0
svg/rect_2,2.0002,1.0,67.83500172144097,2.7234668545547125,-37.19402295782614,0.0,0.0,0.0,1.0,"[0, 7]",-160.0,-80.0,80.0,160.0,120.0,-120.0,80.0,80.0,6400.0,320.0
svg/rect_1,2.0001,1.0,58.37013090444685,33.07316324969967,-51.98886194014023,0.0,0.0,0.0,1.0,"[0, 8]",-160.0,-80.0,160.0,240.0,200.0,-120.0,80.0,80.0,6400.0,320.0
svg/rect,2.0,1.0,64.91741120303169,50.35977996374047,-41.218603010903166,0.0,0.0,0.0,1.0,"[0, 9]",-160.0,-80.0,240.0,320.0,280.0,-120.0,80.0,80.0,6400.0,320.0
