tag_name,tag,opacity,fill_l,fill_a,fill_b,stroke_l,stroke_a,stroke_b,stroke_width,layer,bbox_min_top,bbox_max_bottom,bbox_min_left,bbox_max_right,bbox_center_x,bbox_center_y,bbox_width,bbox_height,bbox_fill_area,bbox_stroke_area
svg/g_53/path_39,6.0039,1.0,76.01418483412525,-2.6239827424862083,32.59041511678209,69.291588978773,-40.35315433753745,60.41180734856968,1.5,"[0, 0, 0]",18.099999999999994,283.0,48.49999999999997,462.0,255.25,150.55,413.5,264.9,0.0,1399.8396894589055
svg/g_53/path_38,6.0038,1.0,48.82710269269184,37.62867574375745,-61.823011662060324,60.664093169600434,49.985386776105535,-52.55363739717684,1.5,"[0, 0, 1]",89.7,284.5,48.30000000000001,706.0,377.15,187.1,657.7,194.8,0.0,1480.2406108770783
svg/g/g_52/path_37,6.0037,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 0, 0]",285.1,293.20000000000005,38.8,44.1,41.45,289.15000000000003,5.300000000000004,8.100000000000023,0.0,41.53240888180788
svg/g/g_51/path_36,6.0036,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 1, 0]",214.3,222.4,23.9,29.2,26.549999999999997,218.35000000000002,5.300000000000001,8.099999999999994,0.0,41.3157678892327
svg/g/g_51/path_35,6.0035,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 1, 1]",220.89999999999998,222.5,30.2,31.599999999999998,30.9,221.7,1.3999999999999986,1.6000000000000227,0.0,5.160838699985661
svg/g/g_51/path_34,6.0034,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 1, 2]",214.49999999999997,222.29999999999998,33.3,35.9,34.599999999999994,218.39999999999998,2.6000000000000014,7.800000000000011,0.0,20.81340711554052
svg/g/g_50/path_33,6.0033,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 2, 0]",149.6,157.7,23.9,29.2,26.549999999999997,153.64999999999998,5.300000000000001,8.099999999999994,0.0,41.394956519368
svg/g/g_50/path_32,6.0032,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 2, 1]",156.1,157.70000000000002,30.2,31.599999999999998,30.9,156.9,1.3999999999999986,1.6000000000000227,0.0,5.24852813742387
svg/g/g_50/path_31,6.0031,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 2, 2]",149.79999999999998,157.79999999999998,32.6,37.599999999999994,35.099999999999994,153.79999999999998,4.999999999999993,8.0,0.0,34.82012257319583
svg/g/g_49/path_30,6.003,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 3, 0]",86.5,94.6,23.9,29.2,26.549999999999997,90.55,5.300000000000001,8.099999999999994,0.0,41.39495651936805
svg/g/g_49/path_29,6.0029,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 3, 1]",93.10000000000001,94.7,30.2,31.599999999999998,30.9,93.9,1.3999999999999986,1.5999999999999943,0.0,5.160838699985606
svg/g/g_49/path_28,6.0028,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 3, 2]",86.50000000000001,94.50000000000001,32.500000000000014,37.30000000000001,34.90000000000001,90.50000000000001,4.799999999999997,8.0,0.0,36.51835118202979
svg/g/g_48/path_27,6.0027,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 4, 0]",22.1,30.200000000000003,23.9,29.2,26.549999999999997,26.150000000000002,5.300000000000001,8.100000000000001,0.0,41.485898951086256
svg/g/g_48/path_26,6.0026,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 4, 1]",28.599999999999998,30.2,30.2,31.599999999999998,30.9,29.4,1.3999999999999986,1.6000000000000014,0.0,5.248528137423855
svg/g/g_48/path_25,6.0025,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 4, 2]",22.3,30.1,32.3,38.0,35.15,26.200000000000003,5.700000000000003,7.800000000000001,0.0,35.6510778154705
svg/g/line_22,3.0022,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 5]",26.0,283.5,47.7,48.7,48.2,154.75,1.0,257.5,0.0,256.5
svg/g/g_46/g_47/line_21,3.0021,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 6, 0, 0]",218.5,219.5,41.0,48.4,44.7,219.0,7.399999999999999,1.0,0.0,6.399999999999999
svg/g/g_46/g_47/line_20,3.002,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 6, 0, 1]",154.5,155.5,41.0,48.4,44.7,155.0,7.399999999999999,1.0,0.0,6.399999999999999
svg/g/g_46/g_47/line_19,3.0019,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 6, 0, 2]",90.5,91.5,41.0,48.4,44.7,91.0,7.399999999999999,1.0,0.0,6.399999999999999
svg/g/g_46/g_47/line_18,3.0018,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 6, 0, 3]",26.5,27.5,41.0,48.4,44.7,27.0,7.399999999999999,1.0,0.0,6.399999999999999
svg/g/g_45/line_17,3.0017,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 7, 0]",282.5,283.5,47.2,707.0,377.1,283.0,659.8,1.0,0.0,658.8
svg/g/line_16,3.0016,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 8]",282.5,291.0,84.5,85.5,85.0,286.75,1.0,8.5,0.0,7.5
svg/g/line_15,3.0015,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 9]",282.5,291.0,121.3,122.3,121.8,286.75,1.0,8.5,0.0,7.5
svg/g/line_14,3.0014,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 10]",282.5,291.0,158.1,159.1,158.6,286.75,1.0,8.5,0.0,7.5
svg/g/line_13,3.0013,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 11]",282.5,291.0,194.9,195.9,195.4,286.75,1.0,8.5,0.0,7.5
svg/g/line_12,3.0012,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 12]",282.5,291.0,231.7,232.7,232.2,286.75,1.0,8.5,0.0,7.5
svg/g/line_11,3.0011,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 13]",282.5,291.0,268.5,269.5,269.0,286.75,1.0,8.5,0.0,7.5
svg/g/line_10,3.001,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 14]",282.5,291.0,305.3,306.3,305.8,286.75,1.0,8.5,0.0,7.5
svg/g/line_9,3.0009,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 15]",282.5,291.0,342.1,343.1,342.6,286.75,1.0,8.5,0.0,7.5
svg/g/line_8,3.0008,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 16]",282.5,291.0,378.9,379.9,379.4,286.75,1.0,8.5,0.0,7.5
svg/g/line_7,3.0007,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 17]",282.5,291.0,415.6,416.6,416.1,286.75,1.0,8.5,0.0,7.5
svg/g/line_6,3.0006,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 18]",282.5,291.0,452.4,453.4,452.9,286.75,1.0,8.5,0.0,7.5
svg/g/line_5,3.0005,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 19]",282.5,291.0,489.2,490.2,489.7,286.75,1.0,8.5,0.0,7.5
svg/g/line_4,3.0004,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 20]",282.5,291.0,526.0,527.0,526.5,286.75,1.0,8.5,0.0,7.5
svg/g/line_3,3.0003,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 21]",282.5,291.0,562.8,563.8,563.3,286.75,1.0,8.5,0.0,7.5
svg/g/line_2,3.0002,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 22]",282.5,291.0,599.6,600.6,600.1,286.75,1.0,8.5,0.0,7.5
svg/g/line_1,3.0001,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 23]",282.5,291.0,636.4,637.4,636.9,286.75,1.0,8.5,0.0,7.5
svg/g/line,3.0,1.0,-1.0,-1.0,-1.0,43.19228956298485,0.002684319282575398,-0.00531107131247488,1.0,"[0, 1, 24]",282.5,291.0,673.2,674.2,673.7,286.75,1.0,8.5,0.0,7.5
svg/g/g_43/g_44/path_24,6.0024,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 25, 0, 0]",297.2,305.0,83.39999999999999,86.0,84.69999999999999,301.1,2.6000000000000085,7.800000000000011,0.0,20.81340711554055
svg/g/g_41/g_42/path_23,6.0023,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 26, 0, 0]",297.19999999999993,305.19999999999993,119.0,124.00000000000001,121.5,301.19999999999993,5.000000000000014,8.0,0.0,34.82012257319585
svg/g/g_39/g_40/path_22,6.0022,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 27, 0, 0]",296.99999999999994,304.99999999999994,156.19999999999993,160.99999999999994,158.59999999999994,300.99999999999994,4.800000000000011,8.0,0.0,36.518351182029825
svg/g/g_37/g_38/path_21,6.0021,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 28, 0, 0]",297.2,305.0,192.0,197.7,194.85,301.1,5.699999999999989,7.800000000000011,0.0,35.65107781547046
svg/g/g_35/g_36/path_20,6.002,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 29, 0, 0]",297.3,305.2,229.99999999999994,234.79999999999995,232.39999999999995,301.25,4.800000000000011,7.899999999999977,0.0,35.476905227774964
svg/g/g_33/g_34/path_19,6.0019,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 30, 0, 0]",297.0,305.1,265.8999999999999,271.29999999999995,268.5999999999999,301.05,5.400000000000034,8.100000000000023,0.0,42.44104537523679
svg/g/g_31/g_32/path_18,6.0018,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 31, 0, 0]",297.2,305.0,303.2,308.1,305.65,301.1,4.900000000000034,7.800000000000011,0.0,26.964306487060206
svg/g/g_29/g_30/path_17,6.0017,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 32, 0, 0]",296.99999999999994,305.1,339.4,344.7,342.04999999999995,301.04999999999995,5.300000000000011,8.10000000000008,0.0,46.758794457073286
svg/g/g_27/g_28/path_16,6.0016,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 33, 0, 0]",297.0,305.1,377.09999999999997,382.4,379.75,301.05,5.300000000000011,8.100000000000023,0.0,41.835597447267475
svg/g/g_25/g_26/path_15,6.0015,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 34, 0, 0]",297.2,305.0,410.70000000000005,413.3,412.0,301.1,2.599999999999966,7.800000000000011,0.0,20.813407115540482
svg/g/g_25/g_26/path_14,6.0014,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 34, 0, 1]",297.0,305.1,416.09999999999997,421.4,418.75,301.05,5.300000000000011,8.100000000000023,0.0,41.31576788923285
svg/g/g_23/g_24/path_13,6.0013,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 35, 0, 0]",297.2,305.0,447.70000000000005,450.3,449.0,301.1,2.599999999999966,7.800000000000011,0.0,20.813407115540482
svg/g/g_23/g_24/path_12,6.0012,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 35, 0, 1]",297.2,305.0,453.90000000000003,456.5,455.20000000000005,301.1,2.599999999999966,7.800000000000011,0.0,20.813407115540482
svg/g/g_21/g_22/path_11,6.0011,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 36, 0, 0]",297.2,305.0,484.70000000000005,487.3,486.0,301.1,2.599999999999966,7.800000000000011,0.0,20.813407115540482
svg/g/g_21/g_22/path_10,6.001,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 36, 0, 1]",297.19999999999993,305.19999999999993,490.2,495.19999999999993,492.69999999999993,301.19999999999993,4.999999999999943,8.0,0.0,34.82012257319575
svg/g/g_19/g_20/path_9,6.0009,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 37, 0, 0]",297.2,305.0,521.6999999999999,524.3,523.0,301.1,2.6000000000000227,7.800000000000011,0.0,20.813407115540546
svg/g/g_19/g_20/path_8,6.0008,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 37, 0, 1]",296.99999999999994,304.99999999999994,527.0000000000002,531.8000000000002,529.4000000000002,300.99999999999994,4.7999999999999545,8.0,0.0,36.51835118202978
svg/g/g_17/g_18/path_7,6.0007,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 38, 0, 0]",297.2,305.0,557.6999999999999,560.3,559.0,301.1,2.6000000000000227,7.800000000000011,0.0,20.813407115540546
svg/g/g_17/g_18/path_6,6.0006,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 38, 0, 1]",297.2,305.0,562.9,568.6,565.75,301.1,5.7000000000000455,7.800000000000011,0.0,35.65107781547055
svg/g/g_15/g_16/path_5,6.0005,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 39, 0, 0]",297.2,305.0,595.1999999999999,597.8,596.5,301.1,2.6000000000000227,7.800000000000011,0.0,20.813407115540546
svg/g/g_15/g_16/path_4,6.0004,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 39, 0, 1]",297.3,305.2,600.6000000000001,605.4000000000001,603.0000000000001,301.25,4.7999999999999545,7.899999999999977,0.0,35.476905227775205
svg/g/g_13/g_14/path_3,6.0003,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 40, 0, 0]",297.2,305.0,632.1999999999999,634.8,633.5,301.1,2.6000000000000227,7.800000000000011,0.0,20.813407115540546
svg/g/g_13/g_14/path_2,6.0002,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 40, 0, 1]",297.0,305.1,637.5,642.9,640.2,301.05,5.399999999999977,8.100000000000023,0.0,42.44104537523676
svg/g/g_11/g_12/path_1,6.0001,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 41, 0, 0]",297.2,305.0,668.1999999999999,670.8,669.5,301.1,2.6000000000000227,7.800000000000011,0.0,20.813407115540546
svg/g/g_11/g_12/path,6.0,1.0,66.8252146308259,13.310064576381286,-7.339506054072831,-1.0,-1.0,-1.0,1.0,"[0, 1, 41, 0, 1]",297.2,305.0,673.9,678.8,676.3499999999999,301.1,4.899999999999977,7.800000000000011,0.0,26.964306487060092
