tag_name,tag,opacity,fill_h,fill_s,fill_l,stroke_h,stroke_s,stroke_l,stroke_width,layer,bbox_min_top,bbox_max_bottom,bbox_min_left,bbox_max_right,bbox_center_x,bbox_center_y,bbox_width,bbox_height,bbox_fill_area,bbox_stroke_area
svg/line_11,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.8274509803921568,0.1,0.0,0.43953488372093025,0.42444444444444446,0.372,0.5493150684931507,0.4594594594594595,0.4318181818181818,0.801980198019802,0.18032786885245902,0.0,0.1580564432148174
svg/line_10,0.9999500274848833,0.1,0.0,0.0,0.0,0.0,0.0,0.8274509803921568,0.1,0.1,0.43953488372093025,0.5133333333333333,0.15866666666666668,0.27534246575342464,0.21621621621621623,0.4772727272727273,0.6039603960396039,0.5081967213114754,0.0,0.13377438814759546
svg/line_9,0.9999000549697666,0.1,0.0,0.0,0.0,0.0,0.0,0.8274509803921568,0.1,0.1,0.2534883720930233,0.2911111111111111,0.372,0.6041095890410959,0.4864864864864865,0.2727272727272727,1.0,0.3442622950819672,0.0,0.20409575268673466
svg/line_8,0.9998500824546499,0.1,0.0,0.0,0.0,0.0,0.0,0.8274509803921568,0.1,0.1,0.43953488372093025,0.6466666666666666,0.372,0.4397260273972603,0.40540540540540543,0.5454545454545454,0.40594059405940597,1.0,0.0,0.1477305455171712
svg/line_7,0.9998001099395333,0.1,0.0,0.0,0.0,0.0,0.0,0.8274509803921568,0.1,0.1,0.48604651162790696,0.42444444444444446,0.6386666666666667,0.6863013698630137,0.6621621621621622,0.45454545454545453,0.3069306930693069,0.01639344262295082,0.0,0.0
svg/line_6,0.9997501374244165,0.1,0.0,0.0,0.0,0.0,0.0,0.8274509803921568,0.1,0.1,0.672093023255814,0.6911111111111111,0.052,0.056164383561643834,0.05405405405405406,0.6818181818181818,0.2079207920792079,0.3442622950819672,0.0,0.011698656293147673
svg/line_5,0.9997001649092999,0.1,0.0,0.0,0.0,0.0,0.0,0.8274509803921568,0.1,0.1,0.3,0.5133333333333333,0.15866666666666668,0.13835616438356163,0.14864864864864866,0.4090909090909091,0.10891089108910891,1.0,0.0,0.11006045677098789
svg/line_4,0.9996501923941832,0.1,0.0,0.0,0.0,0.0,0.0,0.8274509803921568,0.1,0.1,0.06744186046511629,0.11333333333333333,0.692,0.7684931506849315,0.7297297297297297,0.09090909090909091,0.40594059405940597,0.3442622950819672,0.0,0.06953437569430802
svg/line_3,0.9996002198790666,0.1,0.0,0.0,0.0,0.0,0.0,0.8274509803921568,0.1,0.1,0.8116279069767441,0.9133333333333333,0.532,0.5219178082191781,0.527027027027027,0.8636363636363636,0.10891089108910891,0.6721311475409836,0.0,0.052288954951615396
svg/line_2,0.9995502473639498,0.1,0.0,0.0,0.0,0.0,0.0,0.8274509803921568,0.1,0.1,0.8116279069767441,0.8688888888888889,0.452,0.4397260273972603,0.44594594594594594,0.8409090909090909,0.10891089108910891,0.5081967213114754,0.0,0.018908319624081352
