tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,layer_sal,bbox_left_n,bbox_right_n,bbox_top_n,bbox_bottom_n,bbox_center_x_n,bbox_center_y_n,bbox_width_n,bbox_height_n,bbox_fill_area
svg/g/circle_649,0.125,0.7071067811865476,0.11849808281423613,0.1768030210791156,1.0,0.5647058823529413,0.3,0.15,0.0,0.0,0.3,0.25,0.129541178173397,0.1440150528296425,0.9527310924369748,0.9877450980392157,0.13677811550151978,0.9702380952380952,0.014473874656245486,0.0350140056022409,0.3582672447212817
svg/g/circle_648,0.125,0.7071067811865476,0.11849808281423613,0.1768030210791156,1.0,0.5647058823529413,0.3,0.15,0.0,0.0,0.3,0.24964739069111425,0.129541178173397,0.1440150528296425,0.9961484593837534,1.0311624649859943,0.13677811550151978,1.013655462184874,0.014473874656245486,0.0350140056022409,0.3582672447212817
svg/g/circle_647,0.125,0.7071067811865476,0.9022407438911175,0.7969888616664275,0.9502487562189051,0.6058823529411764,0.3,0.15,0.0,0.0,0.3,0.2492947813822285,0.129541178173397,0.1440150528296425,1.039565826330532,1.0745798319327728,0.13677811550151978,1.0570728291316525,0.014473874656245486,0.0350140056022409,0.3582672447212817
svg/g/circle_646,0.125,0.7071067811865476,0.5351380944726464,0.9987637860920051,0.536,0.5098039215686274,0.3,0.15,0.0,0.0,0.3,0.24894217207334274,0.129541178173397,0.1440150528296425,1.0826330532212884,1.1176470588235292,0.13677811550151978,1.1001400560224088,0.014473874656245486,0.0350140056022409,0.3582672447212817
svg/g/circle_645,0.125,0.7071067811865476,0.9314269915162114,0.7527266329282903,0.33603238866396756,0.48431372549019613,0.3,0.15,0.0,0.0,0.3,0.24858956276445698,0.129541178173397,0.1440150528296425,1.1260504201680672,1.1610644257703082,0.13677811550151978,1.1435574229691876,0.014473874656245486,0.0350140056022409,0.3582672447212817
svg/g/circle_644,0.125,0.7071067811865476,0.11849808281423613,0.1768030210791156,1.0,0.5647058823529413,0.3,0.15,0.0,0.0,0.3,0.24823695345557123,0.14748878274714142,0.16196265740338686,0.9527310924369748,0.9877450980392157,0.1547257200752641,0.9702380952380952,0.014473874656245465,0.0350140056022409,0.3582672447212817
svg/g/circle_643,0.125,0.7071067811865476,0.11849808281423613,0.1768030210791156,1.0,0.5647058823529413,0.3,0.15,0.0,0.0,0.3,0.24788434414668548,0.14748878274714142,0.16196265740338686,0.9961484593837534,1.0311624649859943,0.1547257200752641,1.013655462184874,0.014473874656245465,0.0350140056022409,0.3582672447212817
svg/g/circle_642,0.125,0.7071067811865476,0.9022407438911175,0.7969888616664275,0.9502487562189051,0.6058823529411764,0.3,0.15,0.0,0.0,0.3,0.24753173483779972,0.14748878274714142,0.16196265740338686,1.039565826330532,1.0745798319327728,0.1547257200752641,1.0570728291316525,0.014473874656245465,0.0350140056022409,0.3582672447212817
svg/g/circle_641,0.125,0.7071067811865476,0.5351380944726464,0.9987637860920051,0.536,0.5098039215686274,0.3,0.15,0.0,0.0,0.3,0.24717912552891397,0.14748878274714142,0.16196265740338686,1.0826330532212884,1.1176470588235292,0.1547257200752641,1.1001400560224088,0.014473874656245465,0.0350140056022409,0.3582672447212817
svg/g/circle_640,0.125,0.7071067811865476,0.9314269915162114,0.7527266329282903,0.33603238866396756,0.48431372549019613,0.3,0.15,0.0,0.0,0.3,0.2468265162200282,0.14748878274714142,0.16196265740338686,1.1260504201680672,1.1610644257703082,0.1547257200752641,1.1435574229691876,0.014473874656245465,0.0350140056022409,0.3582672447212817
svg/g/circle_639,0.125,0.7071067811865476,0.11849808281423613,0.1768030210791156,1.0,0.5647058823529413,0.3,0.15,0.0,0.0,0.3,0.24647390691114246,0.16558112606744826,0.1800550007236937,0.9527310924369748,0.9877450980392157,0.172818063395571,0.9702380952380952,0.014473874656245465,0.0350140056022409,0.3582672447212817
svg/g/circle_638,0.125,0.7071067811865476,0.11849808281423613,0.1768030210791156,1.0,0.5647058823529413,0.3,0.15,0.0,0.0,0.3,0.2461212976022567,0.16558112606744826,0.1800550007236937,0.9961484593837534,1.0311624649859943,0.172818063395571,1.013655462184874,0.014473874656245465,0.0350140056022409,0.3582672447212817
svg/g/circle_637,0.125,0.7071067811865476,0.9022407438911175,0.7969888616664275,0.9502487562189051,0.6058823529411764,0.3,0.15,0.0,0.0,0.3,0.24576868829337095,0.16558112606744826,0.1800550007236937,1.039565826330532,1.0745798319327728,0.172818063395571,1.0570728291316525,0.014473874656245465,0.0350140056022409,0.3582672447212817
