tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,layer_sal,bbox_left_n,bbox_right_n,bbox_top_n,bbox_bottom_n,bbox_center_x_n,bbox_center_y_n,bbox_width_n,bbox_height_n,bbox_fill_area
svg/rect_39,0.0,0.7071067811865476,0.022879835741861587,0.35047960387195665,0.714285714285714,0.7254901960784313,0.3,0.15,0.0,0.0,0.3,0.5,0.050000000000000044,0.15000000000000008,0.03125,0.28125,0.10000000000000005,0.15625,0.10000000000000002,0.25,0.7025187893248228
svg/rect_38,0.0,0.7071067811865476,0.2500000000000001,0.9330127018922194,0.734375,0.7490196078431373,0.3,0.15,0.0,0.0,0.3,0.48717948717948717,0.15000000000000008,0.25000000000000006,0.03125,0.28125,0.20000000000000004,0.15625,0.10000000000000002,0.25,0.7025187893248228
svg/rect_37,0.0,0.7071067811865476,0.9970976158864073,0.5537955414514056,0.9315068493150684,0.7137254901960784,0.3,0.15,0.0,0.0,0.3,0.47435897435897434,0.25000000000000006,0.3500000000000001,0.03125,0.28125,0.3000000000000001,0.15625,0.10000000000000002,0.25,0.7025187893248228
svg/rect_36,0.0,0.7071067811865476,0.75,0.0669872981077807,0.4728682170542637,0.7470588235294118,0.3,0.15,0.0,0.0,0.3,0.46153846153846156,0.3500000000000001,0.4500000000000001,0.03125,0.28125,0.4000000000000001,0.15625,0.10000000000000002,0.25,0.7025187893248228
svg/rect_35,0.0,0.7071067811865476,0.8174445837049614,0.8863016130905794,1.0,0.5,0.3,0.15,0.0,0.0,0.3,0.44871794871794873,0.4500000000000001,0.5500000000000002,0.03125,0.28125,0.5000000000000001,0.15625,0.10000000000000002,0.25,0.7025187893248228
svg/rect_34,0.0,0.7071067811865476,0.980354990334408,0.6387770991944666,1.0,0.6568627450980392,0.3,0.15,0.0,0.0,0.3,0.4358974358974359,0.5500000000000002,0.65,0.03125,0.28125,0.6000000000000001,0.15625,0.09999999999999995,0.25,0.7025187893248228
svg/rect_33,0.0,0.7071067811865476,0.016447808804744612,0.37281006961922186,0.5327102803738321,0.7901960784313726,0.3,0.15,0.0,0.0,0.3,0.4230769230769231,0.65,0.7500000000000001,0.03125,0.28125,0.7000000000000002,0.15625,0.10000000000000009,0.25,0.7025187893248228
svg/rect_32,0.0,0.7071067811865476,0.2500000000000001,0.9330127018922194,0.734375,0.7490196078431373,0.3,0.15,0.0,0.0,0.3,0.41025641025641024,0.7500000000000001,0.8500000000000002,0.03125,0.28125,0.8000000000000002,0.15625,0.10000000000000009,0.25,0.7025187893248228
svg/rect_31,0.0,0.7071067811865476,0.9970976158864073,0.5537955414514056,0.9315068493150684,0.7137254901960784,0.3,0.15,0.0,0.0,0.3,0.39743589743589747,0.8500000000000002,0.9500000000000002,0.03125,0.28125,0.9000000000000002,0.15625,0.09999999999999995,0.25,0.7025187893248228
svg/rect_30,0.0,0.7071067811865476,0.75,0.0669872981077807,0.4728682170542637,0.7470588235294118,0.3,0.15,0.0,0.0,0.3,0.3846153846153846,0.9500000000000002,1.05,0.03125,0.28125,1.0000000000000002,0.15625,0.09999999999999995,0.25,0.7025187893248228
