tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,layer_sal,bbox_min_left_n,bbox_max_right_n,bbox_min_top_n,bbox_max_bottom_n,bbox_center_x_n,bbox_center_y_n,bbox_width_n,bbox_height_n,bbox_fill_area,bbox_stroke_area
svg/g_19/rect_8,0.8000079999999999,1.0,1.0,0.0,0.94,0.46,1.0,0.0,0.0,0.0,1.0,0.75,3.4408555884385755e-163,4.490012921738246e-60,3.4408555884385755e-163,4.490012921738246e-60,2.1991606517421515e-62,2.1991606517421515e-62,0.4813384813384814,0.059840885506745066,0.6890324189880311,0.1529081348194625
svg/g_19/rect_7,0.8000069999999999,1.0,1.0,0.0,1.0,0.73,1.0,0.0,0.0,0.0,1.0,0.725,3.732554430500937e-138,1.0560206501763762e-137,3.732554430500937e-138,1.0560206501763762e-137,3.523740177078758e-32,3.523740177078758e-32,0.7078507078507079,0.059840885506745066,0.7228340259002776,0.16214132461606806
svg/g_19/rect_6,0.8000060000000001,1.0,1.0,0.0,0.96,0.79,1.0,0.0,0.0,0.0,1.0,0.7,4.590440854955605e-119,2.8399346592804824e-65,4.590440854955605e-119,2.8399346592804824e-65,4.0410177594357685e-17,4.0410177594357685e-17,0.5955598455598456,0.059840885506745066,0.7076943792213789,0.15796674112773218
svg/g_19/rect_5,0.8000050000000001,1.0,1.0,0.0,0.94,0.46,1.0,0.0,0.0,0.0,1.0,0.675,6.023624252183154e-98,0.08092358213923892,6.023624252183154e-98,0.08092358213923892,1.864209220784919e-21,1.864209220784919e-21,0.36389961389961395,0.059840885506745115,0.6645216636986382,0.14643906797725648
svg/g_19/rect_4,0.8000039999999999,1.0,1.0,0.0,1.0,0.73,1.0,0.0,0.0,0.0,1.0,0.65,5.593969337338317e-98,4.439073355553504e-07,5.593969337338317e-98,4.439073355553504e-07,8.146210011435734e-30,8.146210011435734e-30,0.32432432432432434,0.059840885506745115,0.6544329061189791,0.14384365076099506
svg/g_19/rect_3,0.8000029999999999,1.0,1.0,0.0,0.96,0.79,1.0,0.0,0.0,0.0,1.0,0.625,5.889668247538583e-104,6.608636305917236e-25,5.889668247538583e-104,6.608636305917236e-25,1.5243640776835994e-25,1.5243640776835994e-25,0.426962676962677,0.059840885506745115,0.6785269275056178,0.15010898449575455
svg/g/g_18/path_28,0.9000279999999999,1.0,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.375,1.226911790427169e-218,2.6914943314955123e-178,1.226911790427169e-218,2.6914943314955123e-178,7.319912781606624e-198,7.319912781606624e-198,0.037001287001287006,0.0418540297474922,0.0,0.10933741677872798
svg/g/g_18/path_27,0.900027,1.0,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.359375,8.646180553046309e-190,5.0936944434626687e-144,8.646180553046309e-190,5.0936944434626687e-144,5.2060709605507855e-166,5.2060709605507855e-166,0.04536679536679537,0.050501556554825355,0.0,0.13174241139613008
svg/g/g_17/path_26,0.900026,1.0,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.35,2.654194646317059e-175,7.757108122136356e-157,2.654194646317059e-175,7.757108122136356e-157,1.462709216658061e-165,1.462709216658061e-165,0.02927927927927931,0.04254583189207882,0.0,0.11717826616568935
svg/g/g_17/path_25,0.900025,1.0,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.334375,6.054058394219752e-149,2.4015907859830269e-122,6.054058394219752e-149,2.4015907859830269e-122,9.593996652811381e-135,9.593996652811381e-135,0.04568854568854571,0.05050155655482531,0.0,0.13176422711916186
svg/g/g_16/path_24,0.9000239999999999,1.0,1.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,1.0,0.325,3.8164859341535696e-216,3.425544817976291e-167,3.8164859341535696e-216,3.425544817976291e-167,9.637895367016045e-191,9.637895367016045e-191,0.04665379665379671,0.050847457627118633,0.0,0.13047297490122353
svg/g/g_16/path_23,0.900023,1.0,1.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,1.0,0.309375,3.0887565496661705e-200,6.586515856249878e-156,3.0887565496661705e-200,6.586515856249878e-156,3.920861734787095e-177,3.920861734787095e-177,0.04858429858429857,0.04946385333794534,0.0,0.12860917951221842
svg/g/g_16/path_22,0.900022,1.0,1.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,1.0,0.29375,2.4049941782787142e-188,3.539299605839689e-149,2.4049941782787142e-188,3.539299605839689e-149,7.136665304035751e-168,7.136665304035751e-168,0.04697554697554687,0.04842615012106538,0.0,0.12153203134494606
svg/g/g_16/path_21,0.900021,1.0,1.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,1.0,0.278125,7.673763023476568e-184,9.947872111161548e-147,7.673763023476568e-184,9.947872111161548e-147,2.3981683321229197e-164,2.3981683321229197e-164,0.04697554697554706,0.05119335869941199,0.0,0.13331536118013645
svg/g/g_16/path_20,0.9000199999999999,1.0,1.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,1.0,0.2625,3.163535856617849e-165,7.84761449846027e-157,3.163535856617849e-165,7.84761449846027e-157,8.049419459852753e-161,8.049419459852753e-161,0.028314028314028353,0.014873746108612954,0.0,0.09741687780597807
svg/g/g_16/path_19,0.900019,1.0,1.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,1.0,0.246875,1.091979608811239e-185,6.071342717046376e-159,1.091979608811239e-185,6.071342717046376e-159,2.20262735917818e-171,2.20262735917818e-171,0.047619047619047575,0.050155655482532,0.0,0.13585992652404758
svg/g/g_16/path_18,0.900018,1.0,1.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,1.0,0.23125,3.8785370782339667e-194,2.365054111908521e-171,3.8785370782339667e-194,2.365054111908521e-171,8.193055661437273e-182,8.193055661437273e-182,0.047619047619047665,0.050155655482532,0.0,0.13414717987816696
svg/g/g_16/path_17,0.900017,1.0,1.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,1.0,0.215625,3.349678093634771e-207,1.1035668036811316e-188,3.349678093634771e-207,1.1035668036811316e-188,5.201064518993083e-197,5.201064518993083e-197,0.047619047619047575,0.050155655482532,0.0,0.13585992652404758
svg/g/g_16/path_16,0.9000159999999999,1.0,1.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,1.0,0.2,7.048471823236553e-224,1.8261675369342997e-210,7.048471823236553e-224,1.8261675369342997e-210,2.513258420433077e-216,2.513258420433077e-216,0.045688545688545745,0.047388446904185366,0.0,0.1420389562528383
svg/g/g_14/g_15/path_15,0.9000149999999999,1.0,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.3625,1.2493793169564532e-74,1.8706001204408807e-100,1.2493793169564532e-74,1.8706001204408807e-100,4.989087815170478e-87,4.989087815170478e-87,0.010939510939510868,0.05188516084399862,0.0,0.09277479899309748
svg/g/g_14/g_15/path_14,0.9000140000000001,1.0,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.3416666666666667,3.2885994944349595e-73,2.9114734679407674e-100,3.2885994944349595e-73,2.9114734679407674e-100,8.750125100680313e-86,8.750125100680313e-86,0.04826254826254827,0.050501556554825106,0.0,0.13078188636482543
svg/g/g_14/g_15/path_13,0.900013,1.0,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.3208333333333333,8.063939110679817e-77,1.248284061425558e-106,8.063939110679817e-77,1.248284061425558e-106,7.659475144867377e-91,7.659475144867377e-91,0.047297297297297175,0.04773434797647877,0.0,0.12003381628710523
svg/g/g_14/g_15/path_12,0.9000119999999999,1.0,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.3,1.7251477836687675e-83,1.8539070338630286e-111,1.7251477836687675e-83,1.8539070338630286e-111,5.836340772598672e-97,5.836340772598672e-97,0.010939510939510868,0.05188516084399862,0.0,0.0927805930548171
svg/g/line,0.65,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09,1.0,0.15,2.430818973814708e-196,2.490346899672629e-183,2.430818973814708e-196,2.490346899672629e-183,9.418423038253114e-190,9.418423038253114e-190,0.01962676962676961,0.0034590107229332417,0.0,0.04756179196210767
svg/g/g_13/path_11,0.9000109999999999,1.0,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.25,5.48363027323061e-294,2.5634459645581578e-295,5.48363027323061e-294,2.5634459645581578e-295,8.310479761633782e-294,8.310479761633782e-294,0.046010296010296,0.04704254583189217,0.0,0.11754752480529826
svg/g/g_13/path_10,0.9000100000000001,1.0,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.234375,1.6455982443217352e-258,1.5095094589365426e-266,1.6455982443217352e-258,1.5095094589365426e-266,1.2364066026038842e-261,1.2364066026038842e-261,0.0453667953667954,0.05050155655482501,0.0,0.1317044487949807
svg/g/g_13/path_9,0.9000090000000001,1.0,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.21875,1.9181022689052606e-229,7.101864900257571e-241,1.9181022689052606e-229,7.101864900257571e-241,2.6212774115331424e-234,2.6212774115331424e-234,0.044401544401544306,0.04911795226565179,0.0,0.13071810537877485
svg/g/g_13/path_8,0.900008,1.0,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.203125,1.0886341943047829e-203,1.4775216297982494e-227,1.0886341943047829e-203,1.4775216297982494e-227,2.8937261407451524e-215,2.8937261407451524e-215,0.011904761904761961,0.04254583189207891,0.0,0.0921668893704723
svg/g/rect_2,0.8000020000000001,1.0,1.0,0.0,0.94,0.46,1.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.054697554697554704,0.05880318228986511,0.4970992487607664,0.1113658923987743
svg/g/g_12/path_7,0.900007,1.0,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.2,1.952593853840904e-147,2.9309056180949063e-177,1.952593853840904e-147,2.9309056180949063e-177,1.6768213909006674e-161,1.6768213909006674e-161,0.046010296010296055,0.04704254583189217,0.0,0.11754752480529829
svg/g/g_12/path_6,0.9000060000000001,1.0,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.184375,4.874431055827936e-144,3.3975912984565145e-180,4.874431055827936e-144,3.3975912984565145e-180,3.2379809502082967e-161,3.2379809502082967e-161,0.045688545688545745,0.05050155655482501,0.0,0.13172660199592381
svg/g/g_12/path_5,0.900005,1.0,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.16875,1.1831419592121692e-146,1.2386129984039362e-185,1.1831419592121692e-146,1.2386129984039362e-185,2.7567166279825617e-165,2.7567166279825617e-165,0.04472329472329475,0.04911795226565179,0.0,0.13071810537877485
svg/g/g_12/path_4,0.900004,1.0,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.153125,1.1441412104898284e-154,8.129648346964543e-190,1.1441412104898284e-154,8.129648346964543e-190,9.848665807313646e-172,9.848665807313646e-172,0.027992277992277867,0.043583535108958925,0.0,0.10952652765405389
svg/g/rect_1,0.8000010000000001,1.0,1.0,0.0,1.0,0.73,1.0,0.0,0.0,0.0,1.0,0.04999999999999999,5.275241746705086e-156,7.516964427320098e-187,5.275241746705086e-156,7.516964427320098e-187,3.583055073516364e-170,3.583055073516364e-170,0.054697554697554704,0.05880318228986511,0.4970992487607664,0.1113658923987743
svg/g/g_11/path_3,0.900003,1.0,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.15,1.3374118561021086e-229,6.087617452607221e-288,1.3374118561021086e-229,6.087617452607221e-288,6.324645543333644e-258,6.324645543333644e-258,0.046010296010295874,0.04704254583189217,0.0,0.11760360549580738
svg/g/g_11/path_2,0.9000020000000001,1.0,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.134375,2.604143922153378e-258,9e-323,2.604143922153378e-258,9e-323,1.1984653643136966e-289,1.1984653643136966e-289,0.04568854568854566,0.05050155655482501,0.0,0.13173617973846644
svg/g/g_11/path_1,0.900001,1.0,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.11875,1.2351558472974206e-292,0.0,1.2351558472974206e-292,0.0,0.0,0.0,0.044723294723295025,0.04911795226565179,0.0,0.13071810537877487
svg/g/g_11/path,0.9,1.0,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,1.0,0.103125,0.0,0.0,0.0,0.0,0.0,0.0,0.02799227799227814,0.043583535108958925,0.0,0.11084155977140482
svg/g/rect,0.8,1.0,1.0,0.0,0.96,0.79,1.0,0.0,0.0,0.0,1.0,0.0,2.2432319680946748e-190,4.2799816126799905e-255,2.2432319680946748e-190,4.2799816126799905e-255,1.7630681382138844e-221,1.7630681382138844e-221,0.054697554697554704,0.05880318228986511,0.4970992487607664,0.1113658923987743
