tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,layer_sal,bbox_min_left_n,bbox_max_right_n,bbox_min_top_n,bbox_max_bottom_n,bbox_center_x_n,bbox_center_y_n,bbox_width_n,bbox_height_n,bbox_fill_area,bbox_stroke_area
svg/rect_11,0.8000109999999999,1.0,-0.484809620246337,0.8746197071393959,0.4499999999999996,0.79,1.0,0.0,0.0,0.0,0.7071067811865476,0.5,0.0,0.0,0.0,0.0,1.5376451651246607e-238,1.5376451651246607e-238,0.7504690431519699,0.12461059190031153,0.814049339122747,0.174850784198383
svg/rect_10,0.80001,1.0,0.898794046299167,0.4383711467890774,1.0,0.69,1.0,0.0,0.0,0.0,0.7071067811865476,0.4782608695652174,0.0,1.3442379827071783e-186,0.0,1.3442379827071783e-186,0.0,0.0,0.5628517823639775,0.12461059190031153,0.7914746618001319,0.16845326173341155
svg/rect_9,0.800009,1.0,0.984807753012208,0.1736481776669303,1.0,0.64,1.0,0.0,0.0,0.0,0.7071067811865476,0.4565217391304348,0.0,5.074679244249917e-197,0.0,5.074679244249917e-197,0.0,0.0,0.37523452157598497,0.12461059190031153,0.7596579238501425,0.15964053238929313
svg/rect_8,0.8000079999999999,1.0,-0.484809620246337,0.8746197071393959,0.4499999999999996,0.79,1.0,0.0,0.0,0.0,0.7071067811865476,0.43478260869565216,0.0,0.0,0.0,0.0,1.9611073719846776e-100,1.9611073719846776e-100,0.7504690431519699,0.12461059190031153,0.814049339122747,0.174850784198383
svg/rect_7,0.8000069999999999,1.0,0.898794046299167,0.4383711467890774,1.0,0.69,1.0,0.0,0.0,0.0,0.7071067811865476,0.41304347826086957,0.0,3.0943031227497453e-83,0.0,3.0943031227497453e-83,0.0,0.0,0.5628517823639775,0.12461059190031153,0.7914746618001319,0.16845326173341155
svg/rect_6,0.8000060000000001,1.0,0.984807753012208,0.1736481776669303,1.0,0.64,1.0,0.0,0.0,0.0,0.7071067811865476,0.391304347826087,0.0,1.1681410609163248e-93,0.0,1.1681410609163248e-93,0.0,0.0,0.37523452157598497,0.12461059190031153,0.7596579238501425,0.15964053238929313
svg/rect_5,0.8000050000000001,1.0,-0.484809620246337,0.8746197071393959,0.4499999999999996,0.79,1.0,0.0,0.0,0.0,0.7071067811865476,0.3695652173913043,0.0,0.0,0.0,0.0,4.790202313598297e-136,4.790202313598297e-136,0.7504690431519699,0.12461059190031153,0.814049339122747,0.174850784198383
svg/rect_4,0.8000039999999999,1.0,0.898794046299167,0.4383711467890774,1.0,0.69,1.0,0.0,0.0,0.0,0.7071067811865476,0.34782608695652173,0.0,1.3641332265686753e-153,0.0,1.3641332265686753e-153,0.0,0.0,0.5628517823639775,0.12461059190031153,0.7914746618001319,0.16845326173341155
svg/rect_3,0.8000029999999999,1.0,0.984807753012208,0.1736481776669303,1.0,0.64,1.0,0.0,0.0,0.0,0.7071067811865476,0.32608695652173914,0.0,5.1497864666183115e-164,0.0,5.1497864666183115e-164,0.0,0.0,0.37523452157598497,0.12461059190031153,0.7596579238501425,0.15964053238929313
svg/rect_2,0.8000020000000001,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.7071067811865476,0.30434782608695654,0.0,6.52711592090711e-217,0.0,6.52711592090711e-217,0.0,0.0,0.37523452157598497,0.06230529595015576,0.7052689605378105,0.15854662463130836
svg/rect_1,0.8000010000000001,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.7071067811865476,0.28260869565217395,0.0,9.368172102912353e-86,0.0,9.368172102912353e-86,0.0,0.0,0.5628517823639775,0.06230529595015576,0.7370840638731577,0.16770642261577576
svg/rect,0.8,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.7071067811865476,0.2608695652173913,0.0,4.316091730065306e-57,0.0,4.316091730065306e-57,0.0,0.0,0.46904315196998125,0.06230529595015576,0.7227779130402598,0.16356922973175117
svg/line_2,0.6500020000000001,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.22,1.0,0.2391304347826087,0.0,1.1182349484252096e-285,0.0,1.1182349484252096e-285,0.0,0.0,0.001876172607879925,0.19314641744548286,0.0,0.11290311897635652
svg/line_1,0.650001,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.22,1.0,0.2173913043478261,1.1456420013112492e-217,5.305546389007677e-191,1.1456420013112492e-217,5.305546389007677e-191,5.593908438454977e-196,5.593908438454977e-196,0.001876172607879925,0.19314641744548286,0.0,0.11290311897635652
svg/line,0.65,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.22,1.0,0.19565217391304346,1.1708417982754925e-32,3.187893103105798e-110,1.1708417982754925e-32,3.187893103105798e-110,4.383558592787863e-63,4.383558592787863e-63,0.001876172607879925,0.19314641744548286,0.0,0.11290311897635652
svg/text_8,0.5500079999999999,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.01801125703564727,0.04984423676012461,0.44971343188892193,0.0
svg/text_7,0.550007,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.15217391304347827,0.0,0.0,0.0,0.0,0.0,0.0,0.01801125703564727,0.04984423676012461,0.44971343188892193,0.0
svg/text_6,0.550006,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.13043478260869568,0.0,0.0,0.0,0.0,0.0,0.0,0.02701688555347093,0.04984423676012461,0.48144688549115494,0.0
svg/text_5,0.5500050000000001,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.10869565217391303,0.0,0.0,0.0,0.0,0.0,0.0,0.006754221388367719,0.037383177570093455,0.350816586603566,0.0
svg/text_4,0.5500039999999999,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.02701688555347093,0.037383177570093455,0.45892801372762926,0.0
svg/text_3,0.550003,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.06521739130434784,2.0322964509870962e-284,2.6787366774699163e-272,2.0322964509870962e-284,2.6787366774699163e-272,3.032191624138839e-276,3.032191624138839e-276,0.027016885553470878,0.037383177570093455,0.4589280137276291,0.0
svg/text_2,0.550002,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.043478260869565244,5.383374889424464e-274,0.0,5.383374889424464e-274,0.0,7.4834161e-316,7.4834161e-316,0.027016885553470878,0.037383177570093455,0.4589280137276291,0.0
