tag_name,tag,opacity,fill_h,fill_s,fill_l,stroke_h,stroke_s,stroke_l,stroke_width,layer,bbox_min_top,bbox_max_bottom,bbox_min_left,bbox_max_right,bbox_center_x,bbox_center_y,bbox_width,bbox_height,bbox_fill_area,bbox_stroke_area
svg/g_71/line_113,3.0113,0.4,-1.0,-1.0,-1.0,0.0,0.0,80.0,1.0,"[0, 0, 0]",23.1,24.1,50.7,691.9,371.3,23.6,641.1999999999999,1.0,0.0,640.1999999999999
svg/g_71/line_112,3.0112,0.4,-1.0,-1.0,-1.0,0.0,0.0,80.0,1.0,"[0, 0, 1]",66.7,67.7,50.7,691.9,371.3,67.2,641.1999999999999,1.0,0.0,640.1999999999999
svg/g_71/line_111,3.0111,0.4,-1.0,-1.0,-1.0,0.0,0.0,80.0,1.0,"[0, 0, 2]",110.4,111.4,50.7,691.9,371.3,110.9,641.1999999999999,1.0,0.0,640.1999999999999
svg/g_71/line_110,3.011,0.4,-1.0,-1.0,-1.0,0.0,0.0,80.0,1.0,"[0, 0, 3]",154.0,155.0,50.7,691.9,371.3,154.5,641.1999999999999,1.0,0.0,640.1999999999999
svg/g_71/line_109,3.0109,0.4,-1.0,-1.0,-1.0,0.0,0.0,80.0,1.0,"[0, 0, 4]",197.9,198.9,50.7,691.9,371.3,198.4,641.1999999999999,1.0,0.0,640.1999999999999
svg/g_71/line_108,3.0108,0.4,-1.0,-1.0,-1.0,0.0,0.0,80.0,1.0,"[0, 0, 5]",241.3,242.3,50.7,691.9,371.3,241.8,641.1999999999999,1.0,0.0,640.1999999999999
svg/g_71/line_107,3.0107,0.4,-1.0,-1.0,-1.0,0.0,0.0,80.0,1.0,"[0, 0, 6]",23.1,285.8,89.1,90.1,89.6,154.45000000000002,1.0,262.7,0.0,261.7
svg/g_71/line_106,3.0106,0.4,-1.0,-1.0,-1.0,0.0,0.0,80.0,1.0,"[0, 0, 7]",23.3,286.0,129.1,130.1,129.6,154.65,1.0,262.7,0.0,261.7
svg/g_71/line_105,3.0105,0.4,-1.0,-1.0,-1.0,0.0,0.0,80.0,1.0,"[0, 0, 8]",23.1,285.8,169.2,170.2,169.7,154.45000000000002,1.0,262.7,0.0,261.7
svg/g_71/line_104,3.0104,0.4,-1.0,-1.0,-1.0,0.0,0.0,80.0,1.0,"[0, 0, 9]",23.1,285.8,209.3,210.3,209.8,154.45000000000002,1.0,262.7,0.0,261.7
svg/g_71/line_103,3.0103,0.4,-1.0,-1.0,-1.0,0.0,0.0,80.0,1.0,"[0, 0, 10]",23.1,285.8,249.3,250.3,249.8,154.45000000000002,1.0,262.7,0.0,261.7
svg/g_71/line_102,3.0102,0.4,-1.0,-1.0,-1.0,0.0,0.0,80.0,1.0,"[0, 0, 11]",23.1,285.8,289.4,290.4,289.9,154.45000000000002,1.0,262.7,0.0,261.7
svg/g_71/line_101,3.0101,0.4,-1.0,-1.0,-1.0,0.0,0.0,80.0,1.0,"[0, 0, 12]",23.1,285.8,329.4,330.4,329.9,154.45000000000002,1.0,262.7,0.0,261.7
svg/g_71/line_100,3.01,0.4,-1.0,-1.0,-1.0,0.0,0.0,80.0,1.0,"[0, 0, 13]",23.1,285.8,369.5,370.5,370.0,154.45000000000002,1.0,262.7,0.0,261.7
svg/g_71/line_99,3.0099,0.4,-1.0,-1.0,-1.0,0.0,0.0,80.0,1.0,"[0, 0, 14]",23.1,285.8,409.6,410.6,410.1,154.45000000000002,1.0,262.7,0.0,261.7
svg/g_71/line_98,3.0098,0.4,-1.0,-1.0,-1.0,0.0,0.0,80.0,1.0,"[0, 0, 15]",23.1,285.8,449.6,450.6,450.1,154.45000000000002,1.0,262.7,0.0,261.7
svg/g_71/line_97,3.0097,0.4,-1.0,-1.0,-1.0,0.0,0.0,80.0,1.0,"[0, 0, 16]",23.1,285.8,489.7,490.7,490.2,154.45000000000002,1.0,262.7,0.0,261.7
svg/g_71/line_96,3.0096,0.4,-1.0,-1.0,-1.0,0.0,0.0,80.0,1.0,"[0, 0, 17]",23.1,285.8,529.8,530.8,530.3,154.45000000000002,1.0,262.7,0.0,261.7
svg/g_71/line_95,3.0095,0.4,-1.0,-1.0,-1.0,0.0,0.0,80.0,1.0,"[0, 0, 18]",23.1,285.8,569.8,570.8,570.3,154.45000000000002,1.0,262.7,0.0,261.7
svg/g_71/line_94,3.0094,0.4,-1.0,-1.0,-1.0,0.0,0.0,80.0,1.0,"[0, 0, 19]",23.1,285.8,609.9,610.9,610.4,154.45000000000002,1.0,262.7,0.0,261.7
svg/g_71/line_93,3.0093,0.4,-1.0,-1.0,-1.0,0.0,0.0,80.0,1.0,"[0, 0, 20]",23.1,285.8,649.9,650.9,650.4,154.45000000000002,1.0,262.7,0.0,261.7
svg/g_71/line_92,3.0092,0.4,-1.0,-1.0,-1.0,0.0,0.0,80.0,1.0,"[0, 0, 21]",23.1,285.8,691.0,692.0,691.5,154.45000000000002,1.0,262.7,0.0,261.7
