tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,layer_sal,bbox_min_left_n,bbox_max_right_n,bbox_min_top_n,bbox_max_bottom_n,bbox_center_x_n,bbox_center_y_n,bbox_width_n,bbox_height_n,bbox_fill_area,bbox_stroke_area
svg/g_12/g_31/path_24,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.875,3.0945841119344556e-11,4.5824487780305226e-11,3.0945841119344556e-11,4.5824487780305226e-11,3.7675522609222146e-11,3.7675522609222146e-11,0.004367447954578541,0.002826855123674952,0.0,0.053009336827799965
svg/g_12/g_31/path_23,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.8333333333333334,5.7082558572441575e-11,9.766552354162947e-11,5.7082558572441575e-11,9.766552354162947e-11,7.50165395028509e-11,7.50165395028509e-11,0.007715824719755424,0.02862190812720846,0.0,0.09226318593551831
svg/g_12/g_31/path_22,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.7916666666666666,1.1557487819028509e-10,1.3415805448127493e-10,1.1557487819028509e-10,1.3415805448127493e-10,1.2454842746907236e-10,1.2454842746907236e-10,0.0020381423788033174,0.005653710247349904,0.0,0.04479224563067139
svg/g_12/g_31/path_21,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.75,1.8222471366284326e-10,2.8784283400781896e-10,1.8222471366284326e-10,2.8784283400781896e-10,2.3000478566101817e-10,2.3000478566101817e-10,0.006987916727325662,0.02791519434628967,0.0,0.0886053233992929
svg/g_12/g_30/path_20,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.8602941176470589,9.178020255518264e-11,1.93654301008024e-10,9.178020255518264e-11,1.93654301008024e-10,1.339438411122797e-10,1.339438411122797e-10,0.007715824719755424,0.02862190812720846,0.0,0.09230924473916163
svg/g_12/g_30/path_19,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.8186274509803922,2.2037411303880092e-10,2.6663978186965537e-10,2.2037411303880092e-10,2.6663978186965537e-10,2.4246045282116906e-10,2.4246045282116906e-10,0.0020381423788033174,0.005653710247349904,0.0,0.045140416940808684
svg/g_12/g_30/path_18,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.7769607843137255,2.9090612363378077e-10,6.027163065340069e-10,2.9090612363378077e-10,6.027163065340069e-10,4.2069521470441625e-10,4.2069521470441625e-10,0.007715824719755429,0.02862190812720846,0.0,0.09236477264991752
svg/g_12/g_29/path_17,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.8455882352941176,2.907022969337743e-11,7.52515586166832e-11,2.907022969337743e-11,7.52515586166832e-11,4.699121248986423e-11,4.699121248986423e-11,0.007715824719755424,0.02862190812720846,0.0,0.09230924473916165
svg/g_12/g_29/path_16,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.803921568627451,8.247758965783237e-11,1.0389893168734031e-10,8.247758965783237e-11,1.0389893168734031e-10,9.259161769740852e-11,9.259161769740852e-11,0.0020381423788033174,0.005653710247349803,0.0,0.04479224563067117
svg/g_12/g_29/path_15,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.7622549019607843,9.423508984934194e-11,2.2292036853771542e-10,9.423508984934194e-11,2.2292036853771542e-10,1.4555821590888227e-10,1.4555821590888227e-10,0.006987916727325662,0.027915194346289772,0.0,0.08860532339929295
svg/g_12/g_28/path_14,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.8308823529411764,1.9621064507766123e-12,4.2791680759761215e-12,1.9621064507766123e-12,4.2791680759761215e-12,2.9074273439885073e-12,2.9074273439885073e-12,0.003785121560634733,0.02756183745583039,0.0,0.07610465368519967
svg/g_12/g_28/path_13,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.7892156862745098,5.821608603619765e-12,7.642682208128004e-12,5.821608603619765e-12,7.642682208128004e-12,6.671792843434677e-12,6.671792843434677e-12,0.0020381423788033174,0.005653710247349828,0.0,0.04514041694080863
svg/g_12/g_28/path_12,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.747549019607843,5.516538696785223e-12,1.7275626165745394e-11,5.516538696785223e-12,1.7275626165745394e-11,9.808100402407692e-12,9.808100402407692e-12,0.007715824719755429,0.028621908127208485,0.0,0.09241899907333724
svg/g_12/g_26/g_27/line_16,0.375,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.7071067811865476,0.8786764705882353,6.680069755542118e-10,3.3885209319828413e-11,6.680069755542118e-10,3.3885209319828413e-11,0.5278622074886931,0.5278622074886931,0.9652059979618577,0.0017667844522968198,0.0,0.1430298645825758
svg/g_12/g_26/g_27/line_15,0.375,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.7071067811865476,0.8578431372549019,1.2082624513261098e-09,6.207967346338543e-11,1.2082624513261098e-09,6.207967346338543e-11,0.9609047408029822,0.9609047408029822,0.9652059979618577,0.0017667844522968198,0.0,0.1430298645825758
svg/g_12/g_26/g_27/line_14,0.375,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.7071067811865476,0.8370098039215687,4.2461319110847815e-10,2.2097370420100334e-11,4.2461319110847815e-10,2.2097370420100334e-11,0.3398537163444674,0.3398537163444674,0.9652059979618577,0.0017667844522968198,0.0,0.1430298645825758
svg/g_12/g_26/g_27/line_13,0.375,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.7071067811865476,0.8161764705882353,2.899196190650778e-11,1.528212292427532e-12,2.899196190650778e-11,1.528212292427532e-12,0.02335369647770883,0.02335369647770883,0.9652059979618577,0.0017667844522968198,0.0,0.1430298645825758
svg/g_12/g_25/line_12,0.375,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,1.0,0.8014705882352942,1.2007476806067136e-10,3.20348287359536e-12,1.2007476806067136e-10,3.20348287359536e-12,0.05568789392090817,0.05568789392090817,0.9605473868103072,0.0035335689045936395,0.0,0.159930898400587
svg/g_12/line_11,0.375,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,1.0,0.6617647058823529,3.8924592310727524e-07,2.823087519118927e-07,3.8924592310727524e-07,2.823087519118927e-07,3.327092005870581e-07,3.327092005870581e-07,0.0014558159848595139,0.030035335689045935,0.0,0.05272120121949748
svg/g_12/line_10,0.375,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,1.0,0.6470588235294118,0.0011128594444203565,0.0007744538397097777,0.0011128594444203565,0.0007744538397097777,0.0009317695852227079,0.0009317695852227079,0.0014558159848595139,0.030035335689045935,0.0,0.05272120121949748
svg/g_12/line_9,0.375,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,1.0,0.6323529411764706,0.04449161653633227,0.02971021063001808,0.04449161653633227,0.02971021063001808,0.0364907308485166,0.0364907308485166,0.0014558159848595139,0.030035335689045935,0.0,0.05272120121949748
svg/g_12/line_8,0.375,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,1.0,0.6176470588235294,0.02511770005233558,0.016094583373946224,0.02511770005233558,0.016094583373946224,0.020179964968694113,0.020179964968694113,0.0014558159848595139,0.030035335689045935,0.0,0.05272120121949748
svg/g_12/line_7,0.375,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,1.0,0.6029411764705882,0.00019889082537316027,0.0001222839816167666,0.00019889082537316027,0.0001222839816167666,0.00015652465820188116,0.00015652465820188116,0.0014558159848595139,0.030035335689045935,0.0,0.05272120121949748
svg/g_12/line_6,0.375,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,1.0,0.5882352941176471,2.2297249653731027e-08,1.3154624067756083e-08,2.2297249653731027e-08,1.3154624067756083e-08,1.718919239068486e-08,1.718919239068486e-08,0.0014558159848595139,0.030035335689045935,0.0,0.05272120121949748
svg/g_12/g_23/g_24/path_11,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.7610294117647058,1.4298608773296633e-07,1.7776480155000038e-07,1.4298608773296633e-07,1.7776480155000038e-07,1.6032401110425844e-07,1.6032401110425844e-07,0.00989954869704469,0.02862190812720856,0.0,0.09098568984698252
svg/g_12/g_21/g_22/path_10,0.75,1.0,1.0,0.0,0.0,0.5019607843137255,1.0,0.0,0.0,0.0,1.0,0.7463235294117647,0.00048581993831942,0.0004122813719858851,0.00048581993831942,0.0004122813719858851,0.00044963428752675715,0.00044963428752675715,0.007424661522783512,0.028975265017668006,0.0,0.09580297530169747
