tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,layer_sal,bbox_min_left_n,bbox_max_right_n,bbox_min_top_n,bbox_max_bottom_n,bbox_center_x_n,bbox_center_y_n,bbox_width_n,bbox_height_n,bbox_fill_area,bbox_stroke_area
svg/g_71/line_113,0.375,0.6324555320336759,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,1.0,0.75,5.4579186799445126e-11,1.3027840128068639e-11,5.4579186799445126e-11,1.3027840128068639e-11,0.022579146949598894,0.022579146949598894,0.9700453857791225,0.0035473572188719394,0.0,0.15978184074680607
svg/g_71/line_112,0.375,0.6324555320336759,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,1.0,0.7462686567164178,4.1449156142679836e-10,9.722701606749038e-11,4.1449156142679836e-10,9.722701606749038e-11,0.1699844188424989,0.1699844188424989,0.9700453857791225,0.0035473572188719394,0.0,0.15978184074680607
svg/g_71/line_111,0.375,0.6324555320336759,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,1.0,0.7425373134328358,1.4745389091375135e-09,3.3988815782737696e-10,1.4745389091375135e-09,3.3988815782737696e-10,0.5994513252825936,0.5994513252825936,0.9700453857791225,0.0035473572188719394,0.0,0.15978184074680607
svg/g_71/line_110,0.375,0.6324555320336759,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,1.0,0.7388059701492538,2.4430159886830998e-09,5.533908958566947e-10,2.4430159886830998e-09,5.533908958566947e-10,0.984548124425134,0.984548124425134,0.9700453857791225,0.0035473572188719394,0.0,0.15978184074680607
svg/g_71/line_109,0.375,0.6324555320336759,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,1.0,0.7350746268656716,1.8839023374639728e-09,4.1931256315075014e-10,1.8839023374639728e-09,4.1931256315075014e-10,0.752585626096505,0.752585626096505,0.9700453857791225,0.0035473572188719394,0.0,0.15978184074680607
svg/g_71/line_108,0.375,0.6324555320336759,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,1.0,0.7313432835820896,6.829410981323399e-10,1.4939063937179362e-10,6.829410981323399e-10,1.4939063937179362e-10,0.27046502138991374,0.27046502138991374,0.9700453857791225,0.0035473572188719394,0.0,0.15978184074680607
svg/g_71/line_107,0.375,0.6324555320336759,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,1.0,0.7276119402985075,5.115695367793736e-09,1.1550276048051709e-08,5.115695367793736e-09,1.1550276048051709e-08,2.422876936832562e-07,2.422876936832562e-07,0.0015128593040847202,0.9318907413976584,0.0,0.13772236457221138
svg/g_71/line_106,0.375,0.6324555320336759,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,1.0,0.7238805970149254,3.1285797605663514e-07,6.807052117944009e-07,3.1285797605663514e-07,6.807052117944009e-07,1.454574568333278e-05,1.454574568333278e-05,0.0015128593040847202,0.9318907413976584,0.0,0.13772236457221138
svg/g_71/line_105,0.375,0.6324555320336759,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,1.0,0.7201492537313433,9.946413739048194e-06,2.1749006057054978e-05,9.946413739048194e-06,2.1749006057054978e-05,0.00046359186226820916,0.00046359186226820916,0.0015128593040847202,0.9318907413976584,0.0,0.13772236457221138
svg/g_71/line_104,0.375,0.6324555320336759,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,1.0,0.7164179104477613,0.00016805008466246141,0.00036161425796885576,0.00016805008466246141,0.00036161425796885576,0.007770070820784811,0.007770070820784811,0.0015128593040847202,0.9318907413976584,0.0,0.13772236457221138
svg/g_71/line_103,0.375,0.6324555320336759,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,1.0,0.7126865671641791,0.001485433693307897,0.0031456570239896137,0.001485433693307897,0.0031456570239896137,0.06813419926721959,0.06813419926721959,0.0015128593040847202,0.9318907413976584,0.0,0.13772236457221138
svg/g_71/line_102,0.375,0.6324555320336759,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,1.0,0.708955223880597,0.006944519441904955,0.014472188584256388,0.006944519441904955,0.014472188584256388,0.3159883288804263,0.3159883288804263,0.0015128593040847202,0.9318907413976584,0.0,0.13772236457221138
svg/g_71/line_101,0.375,0.6324555320336759,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,1.0,0.7052238805970149,0.017039816950162833,0.03494686548563496,0.017039816950162833,0.03494686548563496,0.7691648216482126,0.7691648216482126,0.0015128593040847202,0.9318907413976584,0.0,0.13772236457221138
svg/g_71/line_100,0.375,0.6324555320336759,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,1.0,0.7014925373134329,0.022042993118351357,0.04448850223217666,0.022042993118351357,0.04448850223217666,0.9870564970514404,0.9870564970514404,0.0015128593040847202,0.9318907413976584,0.0,0.13772236457221138
svg/g_71/line_99,0.375,0.6324555320336759,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,1.0,0.6977611940298507,0.014987743678175602,0.02976784484773725,0.014987743678175602,0.02976784484773725,0.6657706747133167,0.6657706747133167,0.0015128593040847202,0.9318907413976584,0.0,0.13772236457221138
svg/g_71/line_98,0.375,0.6324555320336759,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,1.0,0.6940298507462687,0.005374323894231454,0.010504763059089895,0.005374323894231454,0.010504763059089895,0.23683063821211872,0.23683063821211872,0.0015128593040847202,0.9318907413976584,0.0,0.13772236457221138
