tag_name,tag,opacity,fill_h_normalized,fill_s_normalized,fill_l_normalized,fill_color_salience,stroke_h_normalized,stroke_s_normalized,stroke_l_normalized,stroke_color_salience,stroke_width,layer_salience,bbox_min_left_norm,bbox_max_right_norm,bbox_min_top_norm,bbox_max_bottom_norm,bbox_center_x_norm,bbox_center_y_norm,bbox_width_norm,bbox_height_norm,bbox_fill_area,bbox_stroke_area
svg/line_96,0.650096,0.6324555320336759,0.0,0.0,0.0,0.4,0.0,0.0,0.42,0.652,0.408248290463863,0.5,-0.9881216344630981,0.9976243268926196,-0.9942638623326961,-0.9904397705544935,0.004751346214760669,-0.9923518164435948,0.9928729806778587,0.0019120458891013384,0.0,0.14357868901992252
svg/line_95,0.650095,0.6324555320336759,0.0,0.0,0.0,0.4,0.0,0.0,0.42,0.652,0.408248290463863,0.45454545454545453,-0.9881216344630981,0.9976243268926196,-0.6676864244741876,-0.6638623326959849,0.004751346214760669,-0.6657743785850863,0.9928729806778587,0.0019120458891013384,0.0,0.14357868901992252
svg/line_94,0.650094,0.6324555320336759,0.0,0.0,0.0,0.4,0.0,0.0,0.42,0.652,0.408248290463863,0.40909090909090906,-0.9881216344630981,0.9976243268926196,-0.3418738049713194,-0.3380497131931168,0.004751346214760669,-0.3399617590822181,0.9928729806778587,0.0019120458891013384,0.0,0.14357868901992252
svg/line_93,0.6500929999999999,0.6324555320336759,0.0,0.0,0.0,0.4,0.0,0.0,0.42,0.652,0.408248290463863,0.36363636363636365,-0.9881216344630981,0.9976243268926196,-0.015296367112810925,-0.011472275334608248,0.004751346214760669,-0.013384321223709587,0.9928729806778587,0.0019120458891013384,0.0,0.14357868901992252
svg/line_92,0.6500920000000001,0.6324555320336759,0.0,0.0,0.0,0.4,0.0,0.0,0.42,0.652,0.408248290463863,0.3181818181818182,-0.9881216344630981,0.9976243268926196,0.31357552581261927,0.31739961759082197,0.004751346214760669,0.31548757170172065,0.9928729806778587,0.0019120458891013384,0.0,0.14357868901992252
svg/line_91,0.6500910000000001,0.6324555320336759,0.0,0.0,0.0,0.4,0.0,0.0,0.42,0.652,0.408248290463863,0.2727272727272727,-0.9881216344630981,0.9976243268926196,0.6378585086042063,0.641682600382409,0.004751346214760669,0.6397705544933077,0.9928729806778587,0.0019120458891013384,0.0,0.14357868901992252
svg/g_5/g_6/polyline_1,0.600001,1.0,0.0,0.0,0.0,0.4,0.0,0.98,0.54,0.97,1.0,0.6022727272727273,-0.9784605638264177,-0.8698131137155528,0.6718929254302101,0.765965583173996,-0.9241368387709852,0.7189292543021031,0.05432372505543237,0.04703632887189297,0.0,0.11763821926566706
svg/g_5/g_6/line_90,0.6500900000000001,1.0,0.0,0.0,0.0,0.4,0.0,0.98,0.54,0.97,1.0,0.5984848484848485,-0.8745644599303137,-0.8086791257522966,0.660420650095602,0.7491395793499043,-0.8416217928413052,0.7047801147227531,0.03294266708900855,0.044359464627151145,0.0,0.10236311989058802
svg/g_5/g_6/line_89,0.6500889999999999,1.0,0.0,0.0,0.0,0.4,0.0,0.98,0.54,0.97,1.0,0.5946969696969697,-0.8181818181818185,-0.7519797275894838,0.5625239005736137,0.7491395793499043,-0.785080772885651,0.6558317399617589,0.03310104529616726,0.09330783938814535,0.0,0.11084442747624153
svg/g_5/g_6/line_88,0.6500879999999999,1.0,0.0,0.0,0.0,0.4,0.0,0.98,0.54,0.97,1.0,0.5909090909090909,-0.7614824200190056,-0.6955970858409883,0.5625239005736137,0.6183556405353726,-0.728539752929997,0.5904397705544933,0.03294266708900857,0.027915869980879474,0.0,0.10048481491622996
svg/g_5/g_6/line_87,0.6500870000000001,1.0,0.0,0.0,0.0,0.4,0.0,0.98,0.54,0.97,1.0,0.5871212121212122,-0.7050997782705101,-0.6388976876781757,0.5954110898661565,0.7491395793499043,-0.6719987329743429,0.6722753346080305,0.03310104529616721,0.0768642447418739,0.0,0.10789628628389983
svg/g_5/g_6/line_86,0.650086,1.0,0.0,0.0,0.0,0.4,0.0,0.98,0.54,0.97,1.0,0.5833333333333334,-0.6484003801076973,-0.5825150459296802,0.5296367112810705,0.7491395793499043,-0.6154577130186888,0.6393881453154873,0.03294266708900857,0.1097514340344169,0.0,0.11365456735585076
svg/g_5/g_6/line_85,0.650085,1.0,0.0,0.0,0.0,0.4,0.0,0.98,0.54,0.97,1.0,0.5795454545454546,-0.5920177383592019,-0.5258156477668674,0.5296367112810705,0.6504780114722752,-0.5589166930630347,0.5900573613766729,0.03310104529616726,0.06042065009560234,0.0,0.10499785240650468
