tag_name,tag,opacity,fill_h_normalized,fill_s_normalized,fill_l_normalized,fill_color_salience,stroke_h_normalized,stroke_s_normalized,stroke_l_normalized,stroke_color_salience,stroke_width,layer_salience,bbox_min_left_norm,bbox_max_right_norm,bbox_min_top_norm,bbox_max_bottom_norm,bbox_center_x_norm,bbox_center_y_norm,bbox_width_norm,bbox_height_norm,bbox_fill_area,bbox_stroke_area
svg/g_49/g_53/g_55/path_42,0.900042,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.9375,0.11570387938336428,0.9762832458072163,-0.8769868693849342,0.8783690393918454,0.5459935625952903,0.0006910850034555822,0.430289683211926,0.8776779543883898,0.0,0.16892686832769563
svg/g_49/g_53/g_55/path_41,0.900041,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.9305555555555556,0.18719295273589695,0.9047941724546836,-0.730476848652384,0.7318590186592954,0.5459935625952903,0.0006910850034555822,0.3588006098593933,0.7311679336558397,0.0,0.16439499567818577
svg/g_49/g_53/g_55/path_40,0.9000400000000001,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.9236111111111112,0.25935964763679464,0.832627477553786,-0.5846579129232894,0.5860400829302007,0.5459935625952903,0.0006910850034555822,0.28663391495849566,0.585348997926745,0.0,0.15883742860881941
svg/g_49/g_53/g_55/path_39,0.900039,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.9166666666666666,0.33084872098932727,0.7611384042012533,-0.43814789219073924,0.4395300621976505,0.5459935625952903,0.0006910850034555822,0.215144841605963,0.4388389771941949,0.0,0.1516960208638391
svg/g_49/g_53/g_55/path_38,0.900038,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.9097222222222222,0.40233779434185996,0.6896493308487206,-0.2916378714581891,0.29302004146510047,0.5459935625952903,0.0006910850034555822,0.14365576825343035,0.2923289564616448,0.0,0.14163625412052314
svg/g_49/g_53/g_55/path_37,0.900037,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.9027777777777778,0.4748433000169403,0.6178214467220057,-0.14581893572909446,0.1472011057360058,0.5463323733694729,0.0006910850034555822,0.07148907335253267,0.14651002073255004,0.0,0.12443772421673355
svg/g_49/g_53/g_54/line_14,0.6500140000000001,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.8125,0.5442995087243772,0.5476876164662033,-0.8804422944022113,0.004146510020732707,0.5459935625952903,-0.43814789219073924,0.0016940538709130945,0.44229440221147204,0.0,0.12081300880763243
svg/g_49/g_53/g_54/line_13,0.650013,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.8055555555555556,0.5442995087243772,0.9569710316788068,-0.2736696613683481,0.004146510020732707,0.750635270201592,-0.1347615756738077,0.20633576147721483,0.1389080856945404,0.0,0.12081322324515915
svg/g_49/g_53/g_54/line_12,0.6500119999999999,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.7986111111111112,0.5442995087243772,0.8007792647806199,-0.002764340013821543,0.7138908085694542,0.6725393867524985,0.3555632342778165,0.12823987802812134,0.3583275742916379,0.0,0.1208117680605757
svg/g_49/g_53/g_54/line_11,0.6500109999999999,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.7916666666666666,0.2915466711841434,0.5476876164662033,-0.002764340013821543,0.7138908085694542,0.4196171438251734,0.3555632342778165,0.12807047264103,0.3583275742916379,0.0,0.12080032742663005
svg/g_49/g_53/g_54/line_10,0.6500100000000001,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.7847222222222222,0.13501609351177352,0.5476876164662033,-0.2736696613683481,0.004146510020732707,0.34135185498898857,-0.1347615756738077,0.2063357614772149,0.1389080856945404,0.0,0.12081322324515915
svg/g_49/g_50/g_52/path_36,0.9000360000000001,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.930921052631579,-0.9725563272912076,-0.11197696086735559,-0.8769868693849342,0.8783690393918454,-0.5422666440792816,0.0006910850034555822,0.430289683211926,0.8776779543883898,0.0,0.16892686832769563
svg/g_49/g_50/g_52/path_35,0.900035,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.9239766081871346,-0.9007284431644924,-0.18346603421988825,-0.7304768486523842,0.7318590186592954,-0.5420972386921903,0.0006910850034555822,0.35863120447230207,0.7311679336558397,0.0,0.16439021112252877
svg/g_49/g_50/g_52/path_34,0.900034,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.9170321637426901,-0.8289005590377772,-0.2552939183466034,-0.5846579129232894,0.5860400829302007,-0.5420972386921903,0.0006910850034555822,0.28680332034558687,0.585348997926745,0.0,0.15884039833555952
svg/g_49/g_50/g_52/path_33,0.900033,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.9100877192982456,-0.7574114856852446,-0.32712180247331857,-0.43814789219073924,0.4395300621976505,-0.5422666440792816,0.0006910850034555822,0.215144841605963,0.4388389771941949,0.0,0.15169602086383913
svg/g_49/g_50/g_52/path_32,0.900032,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.9031432748538012,-0.685922412332712,-0.39861087582585125,-0.2916378714581891,0.29302004146510047,-0.5422666440792816,0.0006910850034555822,0.14365576825343043,0.2923289564616448,0.0,0.14163625412052314
svg/g_49/g_50/g_52/path_31,0.900031,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.8961988304093568,-0.6134169066576316,-0.4704387599525664,-0.14581893572909446,0.1472011057360058,-0.541927833305099,0.0006910850034555822,0.07148907335253257,0.14651002073255004,0.0,0.12442793315421297
svg/g_49/g_50/g_51/line_9,0.6500090000000001,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.805921052631579,-0.5439606979501946,-0.5405725902083685,-0.8804422944022113,0.004146510020732707,-0.5422666440792816,-0.43814789219073924,0.0016940538709130945,0.44229440221147204,0.0,0.12081300880763243
svg/g_49/g_50/g_51/line_8,0.650008,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.7989766081871346,-0.5439606979501946,-0.28748094189395224,-0.712508638562543,0.004146510020732707,-0.41572081992207344,-0.3541810642709052,0.12823987802812123,0.3583275742916379,0.0,0.1208117680605757
svg/g_49/g_50/g_51/line_7,0.650007,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.7920321637426901,-0.5439606979501946,-0.1312891749957648,-0.2736696613683481,0.004146510020732707,-0.33762493647297964,-0.1347615756738077,0.2063357614772149,0.1389080856945404,0.0,0.12081322324515915
svg/g_49/g_50/g_51/line_6,0.6500060000000001,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.7850877192982456,-0.5439606979501946,-0.1312891749957648,-0.002764340013821543,0.27505183137525946,-0.33762493647297964,0.13614374568071905,0.2063357614772149,0.1389080856945405,0.0,0.12081322324515915
svg/g_49/g_50/g_51/line_5,0.650005,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.7781432748538012,-0.5439606979501946,-0.28748094189395224,-0.002764340013821543,0.7138908085694542,-0.41572081992207344,0.3555632342778165,0.12823987802812123,0.3583275742916379,0.0,0.1208117680605757
svg/g_49/g_50/g_51/line_4,0.650004,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.7711988304093568,-0.5439606979501946,-0.5405725902083685,-0.002764340013821543,0.8818244644091225,-0.5422666440792816,0.4395300621976505,0.0016940538709130945,0.44229440221147204,0.0,0.12081300880763243
svg/g_49/g_50/g_51/line_3,0.650003,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.7642543859649124,-0.7967135354904284,-0.5405725902083685,-0.002764340013821543,0.7138908085694542,-0.6686430628493985,0.3555632342778165,0.12807047264102997,0.3583275742916379,0.0,0.12080032742663005
svg/g_49/g_50/g_51/line_2,0.6500020000000001,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.7573099415204678,-0.9532441131627983,-0.5405725902083685,-0.002764340013821543,0.27505183137525946,-0.7469083516855834,0.13614374568071905,0.2063357614772149,0.1389080856945405,0.0,0.12081322324515915
svg/g_49/g_50/g_51/line_1,0.650001,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.7503654970760234,-0.9532441131627983,-0.5405725902083685,-0.2736696613683481,0.004146510020732707,-0.7469083516855834,-0.1347615756738077,0.2063357614772149,0.1389080856945404,0.0,0.12081322324515915
svg/g_49/g_50/g_51/line,0.65,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.85,0.49000000000000005,1.0,0.743421052631579,-0.7967135354904284,-0.5405725902083685,-0.712508638562543,0.004146510020732707,-0.6686430628493985,-0.3541810642709052,0.12807047264102997,0.3583275742916379,0.0,0.12080032742663005
svg/g_21/rect_20,0.80002,1.0,0.0,0.0,0.97,0.41800000000000004,0.0,0.0,0.0,0.4,1.0,0.5,-0.4155514145349822,-0.3833643909876334,-0.050449205252245714,0.0414651002073259,-0.3994579027613078,-0.004492052522459909,0.016093511773674397,0.04595715272978581,0.40228748007219417,0.09565383865438035
svg/g_21/rect_19,0.800019,1.0,0.0,0.0,0.97,0.41800000000000004,0.0,0.0,0.0,0.4,1.0,0.493421052631579,-0.34304590885990166,-0.31085888531255285,-0.050449205252245714,0.0414651002073259,-0.32695239708622725,-0.004492052522459909,0.016093511773674397,0.04595715272978581,0.40228748007219417,0.09565383865438035
svg/g_21/rect_18,0.800018,1.0,0.0,0.0,0.97,0.41800000000000004,0.0,0.0,0.0,0.4,1.0,0.4868421052631579,-0.27155683550736914,-0.23936981196002036,-0.050449205252245714,0.0414651002073259,-0.2554633237336948,-0.004492052522459909,0.016093511773674397,0.04595715272978581,0.40228748007219417,0.09565383865438035
svg/g_21/rect_17,0.800017,1.0,0.0,0.0,0.97,0.41800000000000004,0.0,0.0,0.0,0.4,1.0,0.48026315789473684,-0.199728951380654,-0.1675419278333052,-0.050449205252245714,0.0414651002073259,-0.1836354396069796,-0.004492052522459909,0.016093511773674397,0.04595715272978581,0.40228748007219417,0.09565383865438035
svg/g_21/rect_16,0.800016,1.0,0.0,0.0,0.97,0.41800000000000004,0.0,0.0,0.0,0.4,1.0,0.4736842105263158,-0.12790106725393863,-0.09571404370658984,-0.050449205252245714,0.0414651002073259,-0.11180755548026423,-0.004492052522459909,0.016093511773674397,0.04595715272978581,0.40228748007219417,0.09565383865438035
svg/g_21/rect_15,0.8000149999999999,1.0,0.0,0.0,0.97,0.41800000000000004,0.0,0.0,0.0,0.4,1.0,0.46710526315789475,-0.4829747585973233,-0.4582415720819922,-0.03386316516931567,0.029716655148583355,-0.47060816533965777,-0.0020732550103661576,0.01236659325766561,0.03178991015894951,0.3504068233995661,0.0878045275783543
