tag_name,tag,opacity,fill_h_normalized,fill_s_normalized,fill_l_normalized,fill_color_salience,stroke_h_normalized,stroke_s_normalized,stroke_l_normalized,stroke_color_salience,stroke_width,layer_salience,bbox_min_left_norm,bbox_max_right_norm,bbox_min_top_norm,bbox_max_bottom_norm,bbox_center_x_norm,bbox_center_y_norm,bbox_width_norm,bbox_height_norm,bbox_fill_area,bbox_stroke_area
svg/g/g_4/g_5/line_16,0.6500159999999999,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.64,0.616,0.7071067811865476,0.4375,-1.0,0.9977401129943503,0.4531693472090823,0.45695364238410596,-0.0011299435028248588,0.45506149479659413,0.9988700564971752,0.001892147587511826,0.0,0.14424796387169622
svg/g/g_4/g_5/line_15,0.6500149999999999,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.64,0.616,0.7071067811865476,0.4166666666666667,-1.0,0.9977401129943503,-0.03122043519394513,-0.027436140018921477,-0.0011299435028248588,-0.0293282876064333,0.9988700564971752,0.001892147587511826,0.0,0.14424796387169622
svg/g/g_4/g_5/line_14,0.6500140000000001,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.64,0.616,0.7071067811865476,0.3958333333333333,-1.0,0.9977401129943503,-0.5156102175969726,-0.5118259224219489,-0.0011299435028248588,-0.5137180700094608,0.9988700564971752,0.001892147587511826,0.0,0.14424796387169622
svg/g/g_4/g_5/line_13,0.650013,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.64,0.616,0.7071067811865476,0.375,-1.0,0.9977401129943503,-1.0,-0.9962157048249763,-0.0011299435028248588,-0.9981078524124882,0.9988700564971752,0.001892147587511826,0.0,0.14424796387169622
svg/g/g_3/line_12,0.6500119999999999,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.38,0.628,1.0,0.3472222222222222,-0.9880979284369116,1.0,0.935666982024598,0.9432355723746452,0.005951035781544324,0.9394512771996215,0.9940489642184557,0.003784295175023652,0.0,0.16129293362462005
svg/g/line_11,0.6500109999999999,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.38,0.628,1.0,0.19444444444444445,-0.7708474576271186,-0.767834274952919,0.935666982024598,1.0,-0.7693408662900187,0.967833491012299,0.0015065913370998117,0.03216650898770104,0.0,0.053170195965556034
svg/g/line_10,0.6500100000000001,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.38,0.628,1.0,0.16666666666666669,-0.45958568738229755,-0.45657250470809796,0.935666982024598,1.0,-0.45807909604519775,0.967833491012299,0.0015065913370998117,0.03216650898770104,0.0,0.053170195965556034
svg/g/line_9,0.6500090000000001,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.38,0.628,1.0,0.1388888888888889,-0.1486252354048964,-0.14561205273069677,0.935666982024598,1.0,-0.14711864406779657,0.967833491012299,0.0015065913370998117,0.03216650898770104,0.0,0.053170195965556034
svg/g/line_8,0.650008,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.38,0.628,1.0,0.1111111111111111,0.16233521657250471,0.16534839924670433,0.935666982024598,1.0,0.1638418079096045,0.967833491012299,0.0015065913370998117,0.03216650898770104,0.0,0.053170195965556034
svg/g/line_7,0.650007,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.38,0.628,1.0,0.08333333333333334,0.47359698681732565,0.4766101694915253,0.935666982024598,1.0,0.4751035781544255,0.967833491012299,0.0015065913370998117,0.03216650898770104,0.0,0.053170195965556034
