tag_name,tag,opacity,fill_h_normalized,fill_s_normalized,fill_l_normalized,fill_color_salience,stroke_h_normalized,stroke_s_normalized,stroke_l_normalized,stroke_color_salience,stroke_width,layer_salience,bbox_min_left_norm,bbox_max_right_norm,bbox_min_top_norm,bbox_max_bottom_norm,bbox_center_x_norm,bbox_center_y_norm,bbox_width_norm,bbox_height_norm,bbox_fill_area,bbox_stroke_area
svg/g/polygon_46,0.850046,1.0,0.0,0.96,0.49,0.982,0.0,0.0,0.0,0.4,1.0,0.25,-1.0,-0.8957106812447435,-1.0000000000000002,-0.7934896744837244,-0.9478553406223718,-0.8967448372418623,0.05214465937762826,0.10325516275813791,0.5668347744123229,0.11916459296226778
svg/g/polygon_45,0.8500449999999999,1.0,0.0,0.96,0.49,0.982,0.0,0.0,0.0,0.4,1.0,0.2465753424657534,-0.8785534062237175,-0.774264087468461,-1.0000000000000002,-0.7934896744837244,-0.8264087468460892,-0.8967448372418623,0.05214465937762823,0.10325516275813791,0.583463511493291,0.1191734555078292
svg/g/polygon_44,0.850044,1.0,0.0,0.96,0.49,0.982,0.0,0.0,0.0,0.4,1.0,0.24315068493150685,-0.7597981497056351,-0.6555088309503786,-1.0000000000000002,-0.7934896744837244,-0.7076534903280068,-0.8967448372418623,0.05214465937762826,0.10325516275813791,0.596969296207378,0.11918788191519691
svg/g/polygon_43,0.850043,1.0,0.0,0.96,0.49,0.982,0.0,0.0,0.0,0.4,1.0,0.2397260273972603,-0.6370058873002524,-0.5327165685449958,-1.0000000000000002,-0.7934896744837244,-0.5848612279226242,-0.8967448372418623,0.05214465937762826,0.10325516275813791,0.609012572381559,0.1191734555078292
svg/g/polygon_42,0.850042,1.0,0.0,0.96,0.49,0.982,0.0,0.0,0.0,0.4,1.0,0.2363013698630137,-0.5125315391084946,-0.4082422203532381,-1.0000000000000002,-0.7934896744837244,-0.46038687973086634,-0.8967448372418623,0.05214465937762826,0.10325516275813791,0.6196362500776361,0.11917345550782922
svg/g/polygon_41,0.8500409999999999,1.0,0.0,0.96,0.49,0.982,0.0,0.0,0.0,0.4,1.0,0.2328767123287671,-0.39444911690496215,-0.29015979814970566,-1.0000000000000002,-0.7934896744837244,-0.3423044575273339,-0.8967448372418623,0.05214465937762826,0.10325516275813791,0.6285787014400868,0.11916459296226774
svg/g/polygon_40,0.85004,1.0,0.0,0.96,0.49,0.982,0.0,0.0,0.0,0.4,1.0,0.22945205479452055,-0.2810765349032801,-0.1767872161480236,-1.0000000000000002,-0.7934896744837244,-0.22893187552565183,-0.8967448372418623,0.05214465937762826,0.10325516275813791,0.6363731166943865,0.1191734555078292
svg/g/polygon_39,0.850039,1.0,0.0,0.96,0.49,0.982,0.0,0.0,0.0,0.4,1.0,0.226027397260274,-0.16400336417157274,-0.05971404541631623,-1.0000000000000002,-0.7934896744837244,-0.1118587047939445,-0.8967448372418623,0.05214465937762826,0.10325516275813791,0.6437066592904668,0.1191734555078292
svg/g/circle_16,0.750016,1.0,0.0,0.96,0.49,0.982,0.0,0.0,0.0,0.4,1.0,0.2226027397260274,-0.9922624053826746,-0.903448275862069,-0.6681834091704587,-0.4833741687084355,-0.9478553406223718,-0.5757787889394471,0.04440706476030279,0.09240462023101159,0.523720179583357,0.11035956427381534
svg/g/circle_15,0.7500149999999999,1.0,0.0,0.96,0.49,0.982,0.0,0.0,0.0,0.4,1.0,0.2191780821917808,-0.870815811606392,-0.7820016820857866,-0.6681834091704587,-0.4833741687084355,-0.8264087468460892,-0.5757787889394471,0.04440706476030274,0.09240462023101159,0.523720179583357,0.11035956427381534
svg/g/circle_14,0.7500140000000001,1.0,0.0,0.96,0.49,0.982,0.0,0.0,0.0,0.4,1.0,0.21575342465753425,-0.7520605550883095,-0.6632464255677041,-0.6681834091704587,-0.4833741687084355,-0.7076534903280068,-0.5757787889394471,0.04440706476030274,0.09240462023101159,0.523720179583357,0.11035956427381534
svg/g/circle_13,0.750013,1.0,0.0,0.96,0.49,0.982,0.0,0.0,0.0,0.4,1.0,0.2123287671232877,-0.6292682926829268,-0.5404541631623214,-0.6681834091704587,-0.4833741687084355,-0.5848612279226242,-0.5757787889394471,0.04440706476030274,0.09240462023101159,0.523720179583357,0.11035956427381534
svg/g/circle_12,0.750012,1.0,0.0,0.96,0.49,0.982,0.0,0.0,0.0,0.4,1.0,0.2089041095890411,-0.5047939444911691,-0.41597981497056363,-0.6681834091704587,-0.4833741687084355,-0.46038687973086634,-0.5757787889394471,0.04440706476030274,0.09240462023101159,0.523720179583357,0.11035956427381534
